 # File k.dat, created by Task#1 of TABOO on 2025.03.09 time=16.06.51
 # These k numbers are of _tidal_ type
  2        0.30346466E+00       0.96672389E+00       0.57971461E-08       0.79688295E-05       0.17876381E-03       0.42794312E-01       0.60736763E+00      -0.15477466E-24       0.13814812E-01       0.12939904E-01       0.51955916E-22       0.27132870E-03       0.15894258E-03      -0.91560075E-25
  3        0.93869509E-01       0.48000403E+00       0.12312574E-07       0.15463145E-04       0.30469192E-03       0.31835611E-01       0.21931813E+00       0.84258517E-26       0.17290721E-02       0.10222143E-02      -0.31708163E-23       0.39456972E-04       0.15394295E-04       0.45030733E-26
  4        0.42187811E-01       0.31773418E+00       0.21557664E-07       0.23952586E-04       0.58957535E-03       0.22239889E-01       0.10330050E+00       0.20089998E-24       0.42428830E-03       0.27936035E-04      -0.10277009E-21       0.99959509E-05       0.13702311E-08       0.12297398E-24
  5        0.24486955E-01       0.23611153E+00       0.33365943E-07       0.32025316E-04       0.11953872E-02       0.12921739E-01       0.61673929E-01      -0.52827507E-26       0.17604663E-03       0.14166362E-04      -0.10001757E-22       0.38441849E-05       0.18823006E-05       0.15614411E-25
  6        0.16637026E-01       0.18696524E+00       0.47470366E-07       0.38619372E-04       0.21574953E-02       0.40678912E-02       0.45396187E-01      -0.14386706E-25       0.10367941E-03       0.46123422E-04       0.39087077E-23       0.19933648E-05       0.32168526E-05      -0.24401720E-26
  7        0.12402391E-01       0.15421925E+00       0.63581460E-07       0.43158535E-04       0.21986094E-02       0.21987087E-03       0.35668655E-01      -0.80710981E-25       0.76208949E-04       0.57965541E-04       0.51752805E-22       0.12711795E-05       0.33571279E-05      -0.53301181E-25
  8        0.97917502E-02       0.13091849E+00       0.81399091E-07       0.45496800E-04       0.10456079E-02       0.11384144E-01       0.17174262E-01      -0.13348911E-25       0.64057223E-04       0.57748980E-04       0.13325424E-22       0.93136272E-06       0.29804003E-05      -0.17125228E-25
  9        0.80331055E-02       0.11354464E+00       0.10059813E-06       0.45800496E-04       0.33545521E-03       0.16929610E-01       0.65914059E-02      -0.15944703E-25       0.58216327E-04       0.52847715E-04       0.16818832E-22       0.74697463E-06       0.24713755E-05      -0.26065022E-25
 10        0.67739794E-02       0.10012292E+00       0.12081776E-06       0.44426252E-04       0.95013498E-04       0.16317803E-01       0.33310446E-02       0.56608830E-26       0.55286465E-04       0.46649076E-04      -0.19298708E-22       0.63443788E-06       0.19838939E-05       0.40195394E-25
 11        0.58314917E-02       0.89459602E-01       0.14166190E-06       0.41813812E-04       0.26189397E-04       0.14657538E-01       0.19964969E-02       0.19785508E-25       0.53769999E-04       0.40495268E-04      -0.25736481E-22       0.55833045E-06       0.15663893E-05       0.61693083E-25
 12        0.51013304E-02       0.80791678E-01       0.16270800E-06       0.38402774E-04       0.72294128E-05       0.13007689E-01       0.13103001E-02       0.69457742E-26       0.52927913E-04       0.34867208E-04      -0.12222954E-22       0.50204405E-06       0.12258485E-05       0.37467948E-25
 13        0.45197498E-02       0.73609618E-01       0.18351998E-06       0.34577971E-04       0.20132379E-05       0.11560688E-01       0.90527936E-03      -0.75537335E-26       0.52362987E-04       0.29900614E-04       0.98093825E-23       0.45720610E-06       0.95478185E-06      -0.35807445E-25
 14        0.40457497E-02       0.67560863E-01       0.20366265E-06       0.30642568E-04       0.56629533E-06       0.10325517E-01       0.64535979E-03      -0.13914012E-25       0.51847965E-04       0.25595049E-04       0.80540023E-23       0.41936625E-06       0.74184553E-06      -0.28812322E-25
 15        0.36518954E-02       0.62394176E-01       0.22271602E-06       0.26813070E-04       0.16083515E-06       0.92732657E-02       0.46974825E-03      -0.41743373E-26       0.51248001E-04       0.21898379E-04       0.37824640E-23       0.38606382E-06       0.57580756E-06      -0.20485819E-25
 16        0.33192323E-02       0.57925991E-01       0.24028854E-06       0.23228287E-04       0.46085668E-07       0.83717246E-02       0.34721131E-03      -0.13920608E-25       0.50483102E-04       0.18741758E-04       0.15549856E-22       0.35589772E-06       0.44686960E-06      -0.95030231E-25
 17        0.30343073E-02       0.54019286E-01       0.25602897E-06       0.19964874E-04       0.13311066E-07       0.75932455E-02       0.25991456E-03       0.28863767E-26       0.49508714E-04       0.16054486E-04       0.30235075E-23       0.32805323E-06       0.34695094E-06      -0.27634515E-25
 18        0.27873457E-02       0.50569853E-01       0.26963636E-06       0.17054094E-04       0.38719294E-08       0.69156762E-02       0.19684650E-03      -0.99420451E-26       0.48304930E-04       0.13770290E-04       0.12238776E-22       0.30205021E-06       0.26958165E-06      -0.10247778E-24
 19        0.25710971E-02       0.47497138E-01       0.28086781E-06       0.14496720E-04       0.11332201E-08       0.63215998E-02       0.15081880E-03      -0.15901513E-25       0.46869897E-04       0.11829732E-04       0.17812398E-22       0.27760406E-06       0.20966914E-06      -0.17089643E-24
 20        0.23800814E-02       0.44737961E-01       0.28954403E-06       0.12274836E-04       0.33341217E-09       0.57973268E-02       0.11695613E-03      -0.14877589E-25       0.45215302E-04       0.10180819E-04       0.21053100E-22       0.25454628E-06       0.16324579E-06      -0.23584491E-24
 21        0.22100853E-02       0.42242138E-01       0.29555233E-06       0.10360409E-04       0.98524617E-10       0.53320148E-02       0.91866729E-04       0.12554604E-25       0.43362906E-04       0.87787515E-05      -0.10308067E-22       0.23277781E-06       0.12723938E-06       0.11534562E-24
 22        0.20578178E-02       0.39969349E-01       0.29884726E-06       0.87210925E-05       0.29216756E-10       0.49169815E-02       0.73151383E-04      -0.44004874E-27       0.41341641E-04       0.75853042E-05       0.38372749E-24       0.21224080E-06       0.99279368E-07      -0.89746246E-26
 23        0.19206701E-02       0.37886878E-01       0.29944893E-06       0.73238899E-05       0.86873378E-11       0.45451894E-02       0.59094361E-04       0.74902637E-26       0.39185063E-04       0.65680684E-05      -0.66316778E-23       0.19290111E-06       0.77539699E-07       0.95094043E-25
 24        0.17965459E-02       0.35967940E-01       0.29743914E-06       0.61372937E-05       0.25880423E-11       0.42108650E-02       0.48459606E-04       0.48094735E-27       0.36929117E-04       0.56996786E-05      -0.25497381E-23       0.17473726E-06       0.60614420E-07       0.52004708E-25
 25        0.16837387E-02       0.34190436E-01       0.29295570E-06       0.51323967E-05       0.77191547E-12       0.39092169E-02       0.40351798E-04      -0.89398295E-26       0.34610183E-04       0.49570878E-05       0.12414384E-22       0.15773322E-06       0.47420595E-07      -0.23605718E-24
 26        0.15808426E-02       0.32536016E-01       0.28618516E-06       0.42833502E-05       0.23035019E-12       0.36362274E-02       0.34119514E-04      -0.24065730E-25       0.32263461E-04       0.43209147E-05       0.29905612E-22       0.14187379E-06       0.37123270E-07      -0.61594311E-24
 27        0.14866865E-02       0.30989354E-01       0.27735440E-06       0.35674311E-05       0.68731966E-13       0.33884959E-02       0.29286789E-04       0.83083405E-26       0.29921694E-04       0.37748713E-05      -0.14970550E-23       0.12714158E-06       0.29077794E-07      -0.87828313E-26
 28        0.14002843E-02       0.29537588E-01       0.26672145E-06       0.29648893E-05       0.20494437E-13       0.31631198E-02       0.25504334E-04       0.92158694E-26       0.27614226E-04       0.33052701E-05      -0.81843392E-23       0.11351513E-06       0.22785639E-07       0.18728543E-24
 29        0.13207982E-02       0.28169891E-01       0.25456595E-06       0.24586900E-05       0.61038097E-14       0.29576044E-02       0.22514601E-04      -0.89366280E-27       0.25366406E-04       0.29006045E-05      -0.34342589E-23       0.10096787E-06       0.17860598E-07       0.10361580E-24
 30        0.12475097E-02       0.26877113E-01       0.24117963E-06       0.20342129E-05       0.18149280E-14       0.27697916E-02       0.20126693E-04       0.11628082E-25       0.23199279E-04       0.25511935E-05      -0.12826547E-22       0.89467690E-07       0.14002942E-07       0.35860305E-24
 31        0.11797982E-02       0.25651516E-01       0.22685714E-06       0.16789515E-05       0.53856920E-15       0.25978044E-02       0.18198327E-04      -0.11218726E-25       0.21129533E-04       0.22488837E-05       0.14285348E-22       0.78976894E-07       0.10979646E-07      -0.45742575E-24
 32        0.11171231E-02       0.24486540E-01       0.21188769E-06       0.13822292E-05       0.15944161E-15       0.24400027E-02       0.16622819E-04       0.10116362E-25       0.19169655E-04       0.19867993E-05      -0.49442790E-23       0.69452608E-07       0.86092322E-08       0.10732113E-24
 33        0.10590112E-02       0.23376626E-01       0.19654752E-06       0.11349441E-05       0.47077941E-16       0.22949475E-02       0.15319706E-04       0.77408827E-26       0.17328227E-04       0.17591337E-05      -0.11003053E-22       0.60847359E-07       0.67501484E-08       0.36285620E-24
