 # File h.dat, created by Task#1 of TABOO on 2025.03.09 time=16.06.51
 # These h numbers are of _tidal_ type
  2        0.54744782E+00       0.19509793E+01       0.13522226E-06       0.80691091E-04      -0.10175789E-03       0.11862784E+00       0.10724618E+01      -0.15652789E-29       0.25580502E-01       0.20212867E-01       0.31754238E-25       0.49973671E-03       0.22607761E-03      -0.92339643E-28
  3        0.25766837E+00       0.14642301E+01       0.32077254E-06       0.18156065E-03      -0.16199270E-04       0.11618601E+00       0.58033949E+00       0.16105177E-30       0.47976288E-02       0.18796551E-02      -0.37260471E-26       0.10840378E-03       0.22512612E-04       0.85415260E-29
  4        0.15957356E+00       0.13013143E+01       0.60178507E-06       0.31513449E-03       0.72311005E-03       0.10317543E+00       0.37318453E+00       0.67485241E-29       0.15914374E-02      -0.39278808E-04      -0.19145560E-24       0.36839938E-04      -0.16164126E-06       0.36629568E-27
  5        0.11921659E+00       0.12187981E+01       0.97914151E-06       0.46472119E-03       0.35036410E-02       0.75343897E-01       0.28758245E+00      -0.26403936E-30       0.83580219E-03       0.16452991E-03      -0.26343108E-25       0.17804173E-04       0.14396057E-04       0.64549672E-28
  6        0.99436022E-01       0.11686134E+01       0.14492186E-05       0.61218511E-03       0.10210639E-01       0.31338444E-01       0.26340017E+00      -0.99719417E-30       0.59679614E-03       0.43677308E-03       0.13482579E-25       0.11118960E-04       0.25001592E-04      -0.12886904E-28
  7        0.88064364E-01       0.11347185E+01       0.20064487E-05       0.74219261E-03       0.14008551E-01      -0.20853391E-03       0.25266825E+00      -0.75449099E-29       0.51652237E-03       0.58170657E-03       0.22132773E-24       0.82968078E-05       0.28876022E-04      -0.34402524E-27
  8        0.80668711E-01       0.11101663E+01       0.26440228E-05       0.84413297E-03       0.81537559E-02       0.82724878E-01       0.14894661E+00      -0.16057182E-29       0.50056972E-03       0.63563034E-03       0.67821458E-25       0.69683958E-05       0.28637478E-04      -0.12903697E-27
  9        0.75415348E-01       0.10914331E+01       0.33536845E-05       0.91253457E-03       0.30634732E-02       0.14849014E+00       0.68423400E-01      -0.23753385E-29       0.51618347E-03       0.63930072E-03       0.98718169E-25       0.63090401E-05       0.26403455E-04      -0.22233149E-27
 10        0.71441106E-01       0.10765309E+01       0.41254531E-05       0.94659668E-03       0.99282035E-03       0.16342595E+00       0.39997120E-01       0.10278025E-29       0.54917455E-03       0.61696216E-03      -0.12744319E-24       0.59770292E-05       0.23386797E-04       0.37934872E-27
 11        0.68288713E-01       0.10642472E+01       0.49475744E-05       0.94916417E-03       0.30833286E-03       0.16436517E+00       0.27084353E-01       0.42925866E-29       0.59213383E-03       0.58165518E-03      -0.18748989E-24       0.58106204E-05       0.20216040E-04       0.63187534E-27
 12        0.65691337E-01       0.10537967E+01       0.58066892E-05       0.92542814E-03       0.94775760E-04       0.16130557E+00       0.19763658E-01       0.18104588E-29       0.64052258E-03       0.54043000E-03      -0.96683019E-25       0.57256303E-05       0.17198303E-04       0.41065616E-27
 13        0.63481712E-01       0.10446441E+01       0.66881393E-05       0.88164230E-03       0.29108321E-04       0.15704877E+00       0.15009572E-01      -0.22106183E-29       0.69116659E-03       0.49723955E-03       0.83163935E-25       0.56754019E-05       0.14470329E-04      -0.41466141E-27
 14        0.61549656E-01       0.10364088E+01       0.75763473E-05       0.82408020E-03       0.89569899E-05       0.15248188E+00       0.11662378E-01      -0.46309734E-29       0.74161603E-03       0.45437187E-03       0.72409589E-25       0.56331058E-05       0.12079002E-04      -0.34881756E-27
 15        0.59820137E-01       0.10288096E+01       0.84552333E-05       0.75834055E-03       0.27634193E-05       0.14790109E+00       0.91917453E-02      -0.16657140E-29       0.78986348E-03       0.41316002E-03       0.35745516E-25       0.55831122E-05       0.10024354E-04      -0.25837793E-27
 16        0.58240933E-01       0.10216309E+01       0.93086495E-05       0.68899455E-03       0.85488808E-06       0.14340364E+00       0.73180172E-02      -0.60280349E-29       0.83422510E-03       0.37435512E-03       0.15332530E-24       0.55164617E-05       0.82831139E-05      -0.12357351E-26
 17        0.56775186E-01       0.10147028E+01       0.10120817E-04       0.61950024E-03       0.26514234E-06       0.13901801E+00       0.58750720E-02       0.14056324E-29       0.87329907E-03       0.33833928E-03       0.30912638E-25       0.54283491E-05       0.68218204E-05      -0.36907578E-27
