# Complex Love numbers for a periodic load
# Computed by ISSM on 06-Mar-2026 12:18:35
#
#        T (yr)        Re(h_2)        Im(h_2)        Re(l_2)        Im(l_2)        Re(k_2)        Im(k_2)
   1.516717e+05   1.913611e+00  -1.162405e-01   5.892387e-01   2.013916e-02   9.596238e-01  -4.891837e-02
   1.335452e+05   1.908430e+00  -1.298469e-01   5.970868e-01   4.356219e-03   9.575833e-01  -5.465234e-02
   1.175850e+05   1.902057e+00  -1.448918e-01   6.026733e-01  -1.370957e-02   9.551005e-01  -6.100586e-02
   1.035322e+05   1.894228e+00  -1.614124e-01   6.055227e-01  -3.370653e-02   9.520764e-01  -6.800952e-02
   9.115888e+04   1.884641e+00  -1.793923e-01   6.052422e-01  -5.520709e-02   9.483956e-01  -7.567617e-02
   8.026434e+04   1.872968e+00  -1.987413e-01   6.015196e-01  -7.772327e-02   9.439305e-01  -8.399338e-02
   7.067181e+04   1.858875e+00  -2.192757e-01   5.941219e-01  -1.007096e-01   9.385488e-01  -9.291637e-02
   6.222571e+04   1.842056e+00  -2.407053e-01   5.829056e-01  -1.235590e-01   9.321247e-01  -1.023632e-01
   5.478901e+04   1.822275e+00  -2.626331e-01   5.678411e-01  -1.456014e-01   9.245546e-01  -1.122143e-01
   4.824109e+04   1.799417e+00  -2.845740e-01   5.490499e-01  -1.661186e-01   9.157729e-01  -1.223197e-01
   4.247572e+04   1.773526e+00  -3.059998e-01   5.268437e-01  -1.843827e-01   9.057674e-01  -1.325145e-01
   3.739937e+04   1.744835e+00  -3.264084e-01   5.017475e-01  -1.997235e-01   8.945862e-01  -1.426433e-01
   3.292971e+04   1.713746e+00  -3.454064e-01   4.744904e-01  -2.116123e-01   8.823314e-01  -1.525893e-01
   2.899423e+04   1.680782e+00  -3.627867e-01   4.459525e-01  -2.197443e-01   8.691379e-01  -1.623003e-01
   2.552908e+04   1.646486e+00  -3.785734e-01   4.170719e-01  -2.240924e-01   8.551373e-01  -1.718029e-01
   2.247806e+04   1.611312e+00  -3.930164e-01   3.887319e-01  -2.249129e-01   8.404156e-01  -1.811959e-01
   1.979167e+04   1.575522e+00  -4.065300e-01   3.616563e-01  -2.226980e-01   8.249764e-01  -1.906236e-01
   1.742633e+04   1.539123e+00  -4.195877e-01   3.363396e-01  -2.180885e-01   8.087182e-01  -2.002314e-01
   1.534368e+04   1.501855e+00  -4.325969e-01   3.130251e-01  -2.117697e-01   7.914346e-01  -2.101125e-01
   1.350994e+04   1.463238e+00  -4.457794e-01   2.917275e-01  -2.043770e-01   7.728373e-01  -2.202574e-01
   1.189534e+04   1.422665e+00  -4.590802e-01   2.722882e-01  -1.964269e-01   7.526011e-01  -2.305143e-01
   1.047371e+04   1.379523e+00  -4.721186e-01   2.544450e-01  -1.882797e-01   7.304243e-01  -2.405682e-01
   9.221979e+03   1.333338e+00  -4.841920e-01   2.379025e-01  -1.801344e-01   7.060985e-01  -2.499459e-01
   8.119845e+03   1.283909e+00  -4.943384e-01   2.223933e-01  -1.720484e-01   6.795776e-01  -2.580510e-01
   7.149429e+03   1.231412e+00  -5.014558e-01   2.077215e-01  -1.639761e-01   6.510315e-01  -2.642295e-01
   6.294989e+03   1.176452e+00  -5.044669e-01   1.937851e-01  -1.558172e-01   6.208694e-01  -2.678608e-01
