# l loading Love number for a Heaviside load
# Computed by ISSM on 19-Mar-2026 11:28:55
#
#   n         l_n(t)
    1  -1.081222e+00  -1.081249e+00  -1.081260e+00  -1.081277e+00  -1.081301e+00  -1.081335e+00  -1.081384e+00  -1.081454e+00  -1.081555e+00  -1.081700e+00  -1.081908e+00  -1.082206e+00  -1.082633e+00  -1.083249e+00  -1.084129e+00  -1.085391e+00  -1.087197e+00  -1.089778e+00  -1.093456e+00  -1.098683e+00  -1.106081e+00  -1.116480e+00  -1.130974e+00  -1.150910e+00  -1.177838e+00  -1.213274e+00  -1.258228e+00  -1.312363e+00  -1.372922e+00  -1.434014e+00  -1.487431e+00  -1.526078e+00  -1.548465e+00  -1.559610e+00  -1.566445e+00  -1.573460e+00  -1.582776e+00  -1.595836e+00  -1.614180e+00  -1.639728e+00  -1.674845e+00  -1.722227e+00  -1.784510e+00  -1.863464e+00  -1.958727e+00  -2.066456e+00  -2.179036e+00  -2.287593e+00  -2.387441e+00  -2.482007e+00  -2.578588e+00
    2  -1.282214e-01  -1.282561e-01  -1.282713e-01  -1.282933e-01  -1.283247e-01  -1.283697e-01  -1.284342e-01  -1.285271e-01  -1.286603e-01  -1.288514e-01  -1.291258e-01  -1.295193e-01  -1.300831e-01  -1.308915e-01  -1.320492e-01  -1.337049e-01  -1.360687e-01  -1.394342e-01  -1.442098e-01  -1.509506e-01  -1.603977e-01  -1.735013e-01  -1.914174e-01  -2.154329e-01  -2.467654e-01  -2.862024e-01  -3.335874e-01  -3.873166e-01  -4.440705e-01  -4.989678e-01  -5.462026e-01  -5.807542e-01  -6.013243e-01  -6.116932e-01  -6.177470e-01  -6.236721e-01  -6.315049e-01  -6.424780e-01  -6.578555e-01  -6.792047e-01  -7.084117e-01  -7.475504e-01  -7.985056e-01  -8.622144e-01  -9.375384e-01  -1.020092e+00  -1.101946e+00  -1.173459e+00  -1.227330e+00  -1.261929e+00  -1.279743e+00
    3  -6.723785e-02  -6.725725e-02  -6.726571e-02  -6.727785e-02  -6.729528e-02  -6.732031e-02  -6.735613e-02  -6.740784e-02  -6.748185e-02  -6.758815e-02  -6.774105e-02  -6.796002e-02  -6.827435e-02  -6.872528e-02  -6.937150e-02  -7.029707e-02  -7.162144e-02  -7.351341e-02  -7.621066e-02  -8.004249e-02  -8.546182e-02  -9.307638e-02  -1.036747e-01  -1.182295e-01  -1.378404e-01  -1.635636e-01  -1.960537e-01  -2.349964e-01  -2.784240e-01  -3.223146e-01  -3.611422e-01  -3.899219e-01  -4.070618e-01  -4.154347e-01  -4.198995e-01  -4.240268e-01  -4.294778e-01  -4.371267e-01  -4.478506e-01  -4.627401e-01  -4.831097e-01  -5.104020e-01  -5.458955e-01  -5.901512e-01  -6.421377e-01  -6.982991e-01  -7.522748e-01  -7.962873e-01  -8.244340e-01  -8.356427e-01  -8.329872e-01
    4  -5.549903e-02  -5.551349e-02  -5.551979e-02  -5.552885e-02  -5.554184e-02  -5.556051e-02  -5.558730e-02  -5.562602e-02  -5.568102e-02  -5.576033e-02  -5.587392e-02  -5.603724e-02  -5.627211e-02  -5.660814e-02  -5.709041e-02  -5.778080e-02  -5.876929e-02  -6.018248e-02  -6.219802e-02  -6.506505e-02  -6.912473e-02  -7.484130e-02  -8.282269e-02  -9.383051e-02  -1.087554e-01  -1.284991e-01  -1.537228e-01  -1.843981e-01  -2.191836e-01  -2.549390e-01  -2.869944e-01  -3.108638e-01  -3.248813e-01  -3.313634e-01  -3.344898e-01  -3.373002e-01  -3.410697e-01  -3.463804e-01  -3.538269e-01  -3.641656e-01  -3.783076e-01  -3.972454e-01  -4.218491e-01  -4.524513e-01  -4.882088e-01  -5.263917e-01  -5.621438e-01  -5.895366e-01  -6.041798e-01  -6.056498e-01  -5.969146e-01
    5  -5.211878e-02  -5.213103e-02  -5.213638e-02  -5.214405e-02  -5.215506e-02  -5.217088e-02  -5.219363e-02  -5.222619e-02  -5.227299e-02  -5.234021e-02  -5.243651e-02  -5.257495e-02  -5.277354e-02  -5.305879e-02  -5.346686e-02  -5.405179e-02  -5.488924e-02  -5.608571e-02  -5.779213e-02  -6.021818e-02  -6.365290e-02  -6.848524e-02  -7.522637e-02  -8.451459e-02  -9.709096e-02  -1.137048e-01  -1.349017e-01  -1.606446e-01  -1.897949e-01  -2.196904e-01  -2.463650e-01  -2.660034e-01  -2.772184e-01  -2.820616e-01  -2.841623e-01  -2.860462e-01  -2.886461e-01  -2.923238e-01  -2.974803e-01  -3.046352e-01  -3.144110e-01  -3.274813e-01  -3.444194e-01  -3.654058e-01  -3.897659e-01  -4.154712e-01  -4.389545e-01  -4.558859e-01  -4.630866e-01  -4.603629e-01  -4.500474e-01
    6  -4.940019e-02  -4.941084e-02  -4.941548e-02  -4.942216e-02  -4.943172e-02  -4.944547e-02  -4.946521e-02  -4.949355e-02  -4.953423e-02  -4.959264e-02  -4.967660e-02  -4.979674e-02  -4.996918e-02  -5.021703e-02  -5.057196e-02  -5.108052e-02  -5.180822e-02  -5.284772e-02  -5.433015e-02  -5.643726e-02  -5.941944e-02  -6.361350e-02  -6.946006e-02  -7.750948e-02  -8.839696e-02  -1.027603e-01  -1.210531e-01  -1.432164e-01  -1.682274e-01  -1.937363e-01  -2.162780e-01  -2.325746e-01  -2.415422e-01  -2.451133e-01  -2.464866e-01  -2.477438e-01  -2.495441e-01  -2.521035e-01  -2.556903e-01  -2.606614e-01  -2.674418e-01  -2.764847e-01  -2.881580e-01  -3.025405e-01  -3.190906e-01  -3.362953e-01  -3.515639e-01  -3.617855e-01  -3.647020e-01  -3.601971e-01  -3.499692e-01
    7  -4.651117e-02  -4.652044e-02  -4.652447e-02  -4.653028e-02  -4.653860e-02  -4.655056e-02  -4.656773e-02  -4.659241e-02  -4.662778e-02  -4.667852e-02  -4.675155e-02  -4.685613e-02  -4.700661e-02  -4.722159e-02  -4.753066e-02  -4.797281e-02  -4.860577e-02  -4.951014e-02  -5.079966e-02  -5.263220e-02  -5.522569e-02  -5.887226e-02  -6.395502e-02  -7.095020e-02  -8.040788e-02  -9.287756e-02  -1.087450e-01  -1.279420e-01  -1.495534e-01  -1.714965e-01  -1.907197e-01  -2.043774e-01  -2.116161e-01  -2.142577e-01  -2.151318e-01  -2.159587e-01  -2.172006e-01  -2.189752e-01  -2.214618e-01  -2.249041e-01  -2.295893e-01  -2.358193e-01  -2.438279e-01  -2.536301e-01  -2.647904e-01  -2.761819e-01  -2.859270e-01  -2.918014e-01  -2.922058e-01  -2.870730e-01  -2.776134e-01
    8  -4.353327e-02  -4.354131e-02  -4.354482e-02  -4.354985e-02  -4.355708e-02  -4.356745e-02  -4.358234e-02  -4.360373e-02  -4.363444e-02  -4.367852e-02  -4.374180e-02  -4.383260e-02  -4.396288e-02  -4.414858e-02  -4.441763e-02  -4.480137e-02  -4.535003e-02  -4.613548e-02  -4.725310e-02  -4.884285e-02  -5.109191e-02  -5.425743e-02  -5.866564e-02  -6.473282e-02  -7.293637e-02  -8.374927e-02  -9.750189e-02  -1.141274e-01  -1.328105e-01  -1.517165e-01  -1.681609e-01  -1.796785e-01  -1.855835e-01  -1.875557e-01  -1.880874e-01  -1.886108e-01  -1.894491e-01  -1.906551e-01  -1.923442e-01  -1.946792e-01  -1.978516e-01  -2.020563e-01  -2.074346e-01  -2.139682e-01  -2.213145e-01  -2.286451e-01  -2.346081e-01  -2.376281e-01  -2.365802e-01  -2.314107e-01  -2.229743e-01
    9  -4.057438e-02  -4.058133e-02  -4.058436e-02  -4.058871e-02  -4.059496e-02  -4.060393e-02  -4.061681e-02  -4.063531e-02  -4.066186e-02  -4.069967e-02  -4.075470e-02  -4.083323e-02  -4.094614e-02  -4.110749e-02  -4.133916e-02  -4.167100e-02  -4.214651e-02  -4.282481e-02  -4.379161e-02  -4.516723e-02  -4.711264e-02  -4.984822e-02  -5.366320e-02  -5.891110e-02  -6.600526e-02  -7.535733e-02  -8.724868e-02  -1.016139e-01  -1.177329e-01  -1.339980e-01  -1.480711e-01  -1.578079e-01  -1.626623e-01  -1.641490e-01  -1.644447e-01  -1.647481e-01  -1.652852e-01  -1.660665e-01  -1.671602e-01  -1.686710e-01  -1.707172e-01  -1.734189e-01  -1.768538e-01  -1.809859e-01  -1.855543e-01  -1.899655e-01  -1.932732e-01  -1.943851e-01  -1.925163e-01  -1.876095e-01  -1.802497e-01
   10  -3.769635e-02  -3.770234e-02  -3.770496e-02  -3.770871e-02  -3.771409e-02  -3.772175e-02  -3.773292e-02  -3.774886e-02  -3.777173e-02  -3.780458e-02  -3.785172e-02  -3.791938e-02  -3.801646e-02  -3.815570e-02  -3.835547e-02  -3.864124e-02  -3.905015e-02  -3.963484e-02  -4.046817e-02  -4.165372e-02  -4.333046e-02  -4.568770e-02  -4.897600e-02  -5.349921e-02  -5.961370e-02  -6.767360e-02  -7.791763e-02  -9.028752e-02  -1.041479e-01  -1.180988e-01  -1.301150e-01  -1.383494e-01  -1.423592e-01  -1.434879e-01  -1.436195e-01  -1.437584e-01  -1.440644e-01  -1.445224e-01  -1.451619e-01  -1.460435e-01  -1.472327e-01  -1.487924e-01  -1.507553e-01  -1.530773e-01  -1.555672e-01  -1.578212e-01  -1.592108e-01  -1.590115e-01  -1.566912e-01  -1.521792e-01  -1.458422e-01
   11  -3.493349e-02  -3.493862e-02  -3.494086e-02  -3.494408e-02  -3.494870e-02  -3.495533e-02  -3.496485e-02  -3.497852e-02  -3.499814e-02  -3.502631e-02  -3.506675e-02  -3.512479e-02  -3.520805e-02  -3.532749e-02  -3.549827e-02  -3.574417e-02  -3.609501e-02  -3.659712e-02  -3.731136e-02  -3.832707e-02  -3.976563e-02  -4.178963e-02  -4.460912e-02  -4.849058e-02  -5.373768e-02  -6.065328e-02  -6.944036e-02  -8.003898e-02  -9.190561e-02  -1.038173e-01  -1.140370e-01  -1.209841e-01  -1.243024e-01  -1.251574e-01  -1.251700e-01  -1.251838e-01  -1.253118e-01  -1.255175e-01  -1.258045e-01  -1.261971e-01  -1.267211e-01  -1.273965e-01  -1.282222e-01  -1.291503e-01  -1.300489e-01  -1.306657e-01  -1.306242e-01  -1.294892e-01  -1.269218e-01  -1.228329e-01  -1.174133e-01
