# h loading Love number for a Heaviside load
# Computed by ISSM on 19-Mar-2026 11:27:51
#
#   n         h_n(t)
    1  -1.252810e+00  -1.252877e+00  -1.252907e+00  -1.252951e+00  -1.253015e+00  -1.253108e+00  -1.253242e+00  -1.253437e+00  -1.253719e+00  -1.254129e+00  -1.254719e+00  -1.255571e+00  -1.256796e+00  -1.258545e+00  -1.261032e+00  -1.264536e+00  -1.269413e+00  -1.276101e+00  -1.285101e+00  -1.296959e+00  -1.312236e+00  -1.331443e+00  -1.354862e+00  -1.382040e+00  -1.411081e+00  -1.438343e+00  -1.459504e+00  -1.472059e+00  -1.477299e+00  -1.478945e+00  -1.479854e+00
    2  -9.616526e-01  -9.627440e-01  -9.632360e-01  -9.639516e-01  -9.649889e-01  -9.664931e-01  -9.686735e-01  -9.718320e-01  -9.763962e-01  -9.829828e-01  -9.924559e-01  -1.006025e+00  -1.025340e+00  -1.052593e+00  -1.090564e+00  -1.142520e+00  -1.211849e+00  -1.301204e+00  -1.411113e+00  -1.538350e+00  -1.675204e+00  -1.811284e+00  -1.938482e+00  -2.055453e+00  -2.164889e+00  -2.264182e+00  -2.342600e+00  -2.391278e+00  -2.413662e+00  -2.422741e+00  -2.429406e+00
    3  -1.024664e+00  -1.026082e+00  -1.026724e+00  -1.027654e+00  -1.029006e+00  -1.030966e+00  -1.033808e+00  -1.037925e+00  -1.043887e+00  -1.052504e+00  -1.064931e+00  -1.082795e+00  -1.108367e+00  -1.144733e+00  -1.195989e+00  -1.267313e+00  -1.364810e+00  -1.494884e+00  -1.662800e+00  -1.870270e+00  -2.112247e+00  -2.374156e+00  -2.632591e+00  -2.862820e+00  -3.050692e+00  -3.195831e+00  -3.300488e+00  -3.364356e+00  -3.395251e+00  -3.410507e+00  -3.424924e+00
    4  -1.020277e+00  -1.021842e+00  -1.022549e+00  -1.023576e+00  -1.025066e+00  -1.027229e+00  -1.030364e+00  -1.034913e+00  -1.041501e+00  -1.051037e+00  -1.064810e+00  -1.084663e+00  -1.113186e+00  -1.153966e+00  -1.211883e+00  -1.293375e+00  -1.406567e+00  -1.561061e+00  -1.767025e+00  -2.033089e+00  -2.362440e+00  -2.746844e+00  -3.160207e+00  -3.557650e+00  -3.888680e+00  -4.123062e+00  -4.265894e+00  -4.343207e+00  -4.381875e+00  -4.405345e+00  -4.430363e+00
    5  -1.041455e+00  -1.043114e+00  -1.043863e+00  -1.044953e+00  -1.046535e+00  -1.048828e+00  -1.052158e+00  -1.056985e+00  -1.063983e+00  -1.074117e+00  -1.088770e+00  -1.109919e+00  -1.140358e+00  -1.184004e+00  -1.246235e+00  -1.334308e+00  -1.457663e+00  -1.628033e+00  -1.859008e+00  -2.164476e+00  -2.555075e+00  -3.031391e+00  -3.573764e+00  -4.133080e+00  -4.634574e+00  -5.007161e+00  -5.227273e+00  -5.332050e+00  -5.380512e+00  -5.413635e+00  -5.451192e+00
    6  -1.087978e+00  -1.089734e+00  -1.090529e+00  -1.091682e+00  -1.093358e+00  -1.095789e+00  -1.099317e+00  -1.104432e+00  -1.111849e+00  -1.122594e+00  -1.138138e+00  -1.160589e+00  -1.192941e+00  -1.239394e+00  -1.305786e+00  -1.400044e+00  -1.532667e+00  -1.717039e+00  -1.969307e+00  -2.307264e+00  -2.747254e+00  -3.297333e+00  -3.945471e+00  -4.645256e+00  -5.310906e+00  -5.840713e+00  -6.173092e+00  -6.332015e+00  -6.399794e+00  -6.445026e+00  -6.497150e+00
    7  -1.148010e+00  -1.149872e+00  -1.150717e+00  -1.151938e+00  -1.153714e+00  -1.156292e+00  -1.160032e+00  -1.165457e+00  -1.173325e+00  -1.184723e+00  -1.201220e+00  -1.225057e+00  -1.259431e+00  -1.308840e+00  -1.379556e+00  -1.480160e+00  -1.622127e+00  -1.820306e+00  -2.093029e+00  -2.461352e+00  -2.946276e+00  -3.562114e+00  -4.303815e+00  -5.129521e+00  -5.948947e+00  -6.639377e+00  -7.104342e+00  -7.342271e+00  -7.443638e+00  -7.505230e+00  -7.573644e+00
    8  -1.213792e+00  -1.215764e+00  -1.216656e+00  -1.217951e+00  -1.219832e+00  -1.222560e+00  -1.226519e+00  -1.232263e+00  -1.240593e+00  -1.252666e+00  -1.270144e+00  -1.295406e+00  -1.331855e+00  -1.384284e+00  -1.459403e+00  -1.566435e+00  -1.717788e+00  -1.929702e+00  -2.222535e+00  -2.620274e+00  -3.148082e+00  -3.825812e+00  -4.654861e+00  -5.598450e+00  -6.564877e+00  -7.416376e+00  -8.026049e+00  -8.362055e+00  -8.511077e+00  -8.593789e+00  -8.678997e+00
    9  -1.281311e+00  -1.283392e+00  -1.284334e+00  -1.285700e+00  -1.287682e+00  -1.290564e+00  -1.294743e+00  -1.300807e+00  -1.309600e+00  -1.322347e+00  -1.340800e+00  -1.367487e+00  -1.406001e+00  -1.461438e+00  -1.540933e+00  -1.654333e+00  -1.814973e+00  -2.040414e+00  -2.352952e+00  -2.779338e+00  -3.348616e+00  -4.085822e+00  -4.998490e+00  -6.055256e+00  -7.164767e+00  -8.177936e+00  -8.940949e+00  -9.389593e+00  -9.598321e+00  -9.706272e+00  -9.807310e+00
   10  -1.348617e+00  -1.350804e+00  -1.351794e+00  -1.353232e+00  -1.355317e+00  -1.358347e+00  -1.362738e+00  -1.369115e+00  -1.378363e+00  -1.391767e+00  -1.411183e+00  -1.439260e+00  -1.479802e+00  -1.538176e+00  -1.621955e+00  -1.741590e+00  -1.911297e+00  -2.149932e+00  -2.481655e+00  -2.935863e+00  -3.545320e+00  -4.340033e+00  -5.333557e+00  -6.500199e+00  -7.750253e+00  -8.925876e+00  -9.848927e+00  -1.042180e+01  -1.070026e+01  -1.083681e+01  -1.095170e+01
