# l loading Love number for a Heaviside load
# Computed by ISSM on 19-Mar-2026 11:27:51
#
#   n         l_n(t)
    1  -1.081222e+00  -1.081484e+00  -1.081602e+00  -1.081774e+00  -1.082024e+00  -1.082386e+00  -1.082911e+00  -1.083675e+00  -1.084783e+00  -1.086390e+00  -1.088718e+00  -1.092094e+00  -1.096974e+00  -1.104024e+00  -1.114179e+00  -1.128758e+00  -1.149576e+00  -1.179090e+00  -1.220498e+00  -1.277731e+00  -1.355184e+00  -1.456849e+00  -1.584604e+00  -1.735512e+00  -1.899131e+00  -2.057686e+00  -2.192858e+00  -2.298386e+00  -2.386632e+00  -2.477214e+00  -2.579244e+00
    2  -1.282214e-01  -1.285665e-01  -1.287227e-01  -1.289489e-01  -1.292783e-01  -1.297555e-01  -1.304477e-01  -1.314515e-01  -1.329067e-01  -1.350125e-01  -1.380557e-01  -1.424446e-01  -1.487542e-01  -1.577839e-01  -1.706261e-01  -1.887278e-01  -2.139320e-01  -2.484524e-01  -2.947318e-01  -3.551695e-01  -4.317675e-01  -5.258311e-01  -6.375692e-01  -7.647782e-01  -9.000052e-01  -1.028734e+00  -1.133763e+00  -1.205746e+00  -1.249461e+00  -1.275783e+00  -1.289312e+00
    3  -6.723785e-02  -6.742994e-02  -6.751668e-02  -6.764269e-02  -6.782585e-02  -6.809175e-02  -6.847755e-02  -6.903742e-02  -6.985017e-02  -7.102860e-02  -7.273620e-02  -7.520835e-02  -7.878267e-02  -8.393935e-02  -9.135709e-02  -1.019814e-01  -1.171047e-01  -1.384412e-01  -1.681655e-01  -2.088410e-01  -2.631287e-01  -3.331253e-01  -4.191837e-01  -5.182121e-01  -6.219732e-01  -7.170277e-01  -7.889390e-01  -8.305594e-01  -8.466002e-01  -8.471578e-01  -8.384984e-01
    4  -5.549903e-02  -5.564219e-02  -5.570701e-02  -5.580096e-02  -5.593754e-02  -5.613563e-02  -5.642357e-02  -5.684123e-02  -5.744678e-02  -5.832597e-02  -5.960084e-02  -6.144563e-02  -6.411507e-02  -6.796867e-02  -7.351823e-02  -8.147976e-02  -9.283871e-02  -1.089171e-01  -1.314193e-01  -1.623990e-01  -2.040511e-01  -2.581543e-01  -3.249838e-01  -4.016815e-01  -4.807235e-01  -5.502139e-01  -5.981890e-01  -6.200335e-01  -6.217954e-01  -6.134474e-01  -6.002333e-01
    5  -5.211878e-02  -5.224009e-02  -5.229502e-02  -5.237462e-02  -5.249030e-02  -5.265801e-02  -5.290208e-02  -5.325579e-02  -5.376893e-02  -5.451324e-02  -5.559164e-02  -5.715287e-02  -5.940981e-02  -6.266458e-02  -6.734533e-02  -7.404748e-02  -8.358292e-02  -9.703063e-02  -1.157565e-01  -1.413668e-01  -1.754948e-01  -2.192952e-01  -2.725044e-01  -3.321368e-01  -3.914573e-01  -4.407114e-01  -4.711240e-01  -4.808008e-01  -4.762853e-01  -4.657935e-01  -4.523884e-01
    6  -4.940019e-02  -4.950555e-02  -4.955332e-02  -4.962243e-02  -4.972298e-02  -4.986932e-02  -5.008096e-02  -5.038850e-02  -5.083442e-02  -5.148095e-02  -5.241758e-02  -5.377314e-02  -5.573124e-02  -5.855373e-02  -6.260772e-02  -6.840336e-02  -7.663108e-02  -8.819714e-02  -1.042313e-01  -1.260208e-01  -1.547948e-01  -1.912411e-01  -2.346626e-01  -2.819078e-01  -3.267711e-01  -3.612093e-01  -3.792721e-01  -3.815360e-01  -3.745285e-01  -3.641807e-01  -3.517239e-01
    7  -4.651117e-02  -4.660290e-02  -4.664438e-02  -4.670472e-02  -4.679204e-02  -4.691923e-02  -4.710346e-02  -4.737067e-02  -4.775854e-02  -4.832083e-02  -4.913527e-02  -5.031337e-02  -5.201499e-02  -5.446607e-02  -5.798453e-02  -6.300789e-02  -7.012805e-02  -8.011398e-02  -9.390922e-02  -1.125620e-01  -1.370102e-01  -1.676289e-01  -2.034730e-01  -2.413871e-01  -2.756977e-01  -2.997178e-01  -3.095537e-01  -3.074377e-01  -2.996048e-01  -2.900911e-01  -2.789350e-01
    8  -4.353327e-02  -4.361286e-02  -4.364784e-02  -4.370110e-02  -4.377696e-02  -4.388710e-02  -4.404696e-02  -4.427891e-02  -4.461411e-02  -4.510297e-02  -4.580901e-02  -4.683199e-02  -4.830500e-02  -5.042871e-02  -5.347595e-02  -5.781896e-02  -6.396984e-02  -7.257903e-02  -8.443731e-02  -1.003985e-01  -1.211817e-01  -1.469430e-01  -1.766132e-01  -2.071725e-01  -2.335293e-01  -2.501661e-01  -2.546580e-01  -2.501207e-01  -2.422472e-01  -2.337311e-01  -2.239556e-01
    9  -4.057438e-02  -4.064319e-02  -4.067431e-02  -4.071950e-02  -4.078511e-02  -4.088034e-02  -4.101790e-02  -4.121913e-02  -4.151066e-02  -4.193123e-02  -4.254238e-02  -4.342477e-02  -4.469821e-02  -4.653390e-02  -4.916383e-02  -5.290985e-02  -5.820668e-02  -6.560984e-02  -7.577518e-02  -8.940120e-02  -1.070244e-01  -1.286529e-01  -1.531694e-01  -1.777501e-01  -1.979187e-01  -2.091893e-01  -2.102105e-01  -2.044566e-01  -1.969352e-01  -1.894138e-01  -1.809685e-01
   10  -3.769635e-02  -3.775564e-02  -3.778246e-02  -3.782139e-02  -3.787792e-02  -3.795997e-02  -3.807906e-02  -3.825184e-02  -3.850278e-02  -3.886604e-02  -3.939115e-02  -4.015126e-02  -4.124811e-02  -4.282616e-02  -4.508825e-02  -4.830832e-02  -5.285529e-02  -5.919516e-02  -6.787747e-02  -7.946406e-02  -9.435152e-02  -1.124275e-01  -1.325777e-01  -1.522134e-01  -1.674545e-01  -1.747203e-01  -1.734535e-01  -1.671795e-01  -1.601858e-01  -1.535914e-01  -1.463629e-01
   11  -3.493349e-02  -3.498434e-02  -3.500734e-02  -3.504073e-02  -3.508921e-02  -3.515959e-02  -3.526177e-02  -3.541010e-02  -3.562503e-02  -3.593690e-02  -3.638696e-02  -3.703957e-02  -3.797751e-02  -3.933218e-02  -4.126685e-02  -4.402143e-02  -4.790487e-02  -5.331052e-02  -6.068919e-02  -7.048959e-02  -8.299111e-02  -9.800076e-02  -1.144217e-01  -1.299187e-01  -1.411653e-01  -1.453653e-01  -1.425498e-01  -1.361279e-01  -1.297042e-01  -1.239425e-01  -1.177881e-01
   12  -3.230629e-02  -3.234966e-02  -3.236928e-02  -3.239776e-02  -3.243911e-02  -3.249913e-02  -3.258623e-02  -3.271259e-02  -3.289582e-02  -3.316134e-02  -3.354498e-02  -3.410156e-02  -3.490251e-02  -3.605374e-02  -3.770188e-02  -4.004417e-02  -4.334114e-02  -4.792092e-02  -5.415211e-02  -6.238514e-02  -7.280205e-02  -8.514808e-02  -9.836869e-02  -1.103694e-01  -1.183334e-01  -1.201251e-01  -1.162176e-01  -1.098146e-01  -1.039243e-01  -9.888517e-02  -9.365523e-02
   13  -2.982740e-02  -2.986413e-02  -2.988075e-02  -2.990487e-02  -2.994034e-02  -2.999072e-02  -3.006449e-02  -3.017175e-02  -3.032634e-02  -3.055150e-02  -3.087656e-02  -3.134735e-02  -3.202507e-02  -3.299917e-02  -3.439075e-02  -3.636729e-02  -3.914884e-02  -4.299688e-02  -4.821630e-02  -5.507173e-02  -6.366177e-02  -7.368838e-02  -8.415038e-02  -9.317649e-02  -9.840362e-02  -9.825783e-02  -9.352676e-02  -8.718880e-02  -8.174741e-02  -7.731139e-02  -7.286245e-02
   14  -2.750393e-02  -2.753478e-02  -2.754873e-02  -2.756899e-02  -2.759839e-02  -2.764107e-02  -2.770324e-02  -2.779279e-02  -2.792312e-02  -2.811182e-02  -2.838425e-02  -2.877941e-02  -2.934783e-02  -3.016384e-02  -3.132923e-02  -3.298424e-02  -3.530484e-02  -3.851065e-02  -4.283520e-02  -4.847691e-02  -5.546788e-02  -6.347146e-02  -7.154522e-02  -7.802407e-02  -8.094334e-02  -7.919035e-02  -7.378420e-02  -6.747890e-02  -6.237768e-02  -5.843156e-02  -5.462947e-02
   15  -2.533868e-02  -2.536431e-02  -2.537590e-02  -2.539273e-02  -2.541716e-02  -2.545262e-02  -2.550407e-02  -2.557870e-02  -2.568690e-02  -2.584361e-02  -2.607045e-02  -2.639775e-02  -2.686938e-02  -2.754586e-02  -2.851263e-02  -2.988037e-02  -3.179502e-02  -3.443093e-02  -3.796820e-02  -4.254089e-02  -4.812560e-02  -5.436389e-02  -6.036247e-02  -6.464989e-02  -6.559544e-02  -6.247272e-02  -5.646085e-02  -5.011712e-02  -4.523671e-02  -4.166682e-02  -3.839495e-02
   16  -2.333100e-02  -2.335201e-02  -2.336151e-02  -2.337531e-02  -2.339533e-02  -2.342440e-02  -2.346657e-02  -2.352774e-02  -2.361640e-02  -2.374524e-02  -2.393042e-02  -2.419853e-02  -2.458496e-02  -2.513803e-02  -2.592646e-02  -2.704187e-02  -2.859890e-02  -3.073095e-02  -3.357427e-02  -3.720653e-02  -4.155858e-02  -4.625325e-02  -5.044538e-02  -5.283160e-02  -5.207156e-02  -4.774500e-02  -4.114835e-02  -3.467119e-02  -2.989102e-02  -2.659203e-02  -2.374894e-02
   17  -2.147758e-02  -2.149451e-02  -2.150217e-02  -2.151328e-02  -2.152942e-02  -2.155283e-02  -2.158681e-02  -2.163607e-02  -2.170726e-02  -2.181056e-02  -2.196052e-02  -2.217602e-02  -2.248640e-02  -2.293132e-02  -2.356321e-02  -2.445511e-02  -2.569606e-02  -2.738522e-02  -2.961568e-02  -3.242135e-02  -3.569333e-02  -3.903532e-02  -4.165151e-02  -4.238202e-02  -4.012730e-02  -3.471631e-02  -2.752516e-02  -2.081531e-02  -1.601644e-02  -1.289128e-02  -1.038847e-02
   18  -1.977312e-02  -1.978645e-02  -1.979248e-02  -1.980123e-02  -1.981393e-02  -1.983236e-02  -1.985911e-02  -1.989804e-02  -1.995411e-02  -2.003500e-02  -2.015292e-02  -2.032251e-02  -2.056578e-02  -2.091420e-02  -2.140932e-02  -2.210410e-02  -2.306613e-02  -2.436545e-02  -2.605814e-02  -2.813890e-02  -3.046029e-02  -3.261866e-02  -3.385733e-02  -3.313681e-02  -2.955896e-02  -2.314923e-02  -1.533813e-02  -8.293147e-03  -3.368573e-03  -3.284057e-04   1.911186e-03
   19  -1.821090e-02  -1.822106e-02  -1.822565e-02  -1.823232e-02  -1.824200e-02  -1.825605e-02  -1.827668e-02  -1.830597e-02  -1.834876e-02  -1.841098e-02  -1.850007e-02  -1.862844e-02  -1.881375e-02  -1.907766e-02  -1.945121e-02  -1.997333e-02  -2.069031e-02  -2.164707e-02  -2.286665e-02  -2.431019e-02  -2.579942e-02  -2.692003e-02  -2.694932e-02  -2.495276e-02  -2.019253e-02  -1.284288e-02  -4.382345e-03   3.089493e-03   8.240413e-03   1.127612e-02   1.332084e-02
   20  -1.678323e-02  -1.679061e-02  -1.679395e-02  -1.679879e-02  -1.680582e-02  -1.681637e-02  -1.683080e-02  -1.685223e-02  -1.688325e-02  -1.692810e-02  -1.699281e-02  -1.708588e-02  -1.721918e-02  -1.740928e-02  -1.767573e-02  -1.804550e-02  -1.854807e-02  -1.920405e-02  -2.000922e-02  -2.089324e-02  -2.165266e-02  -2.186439e-02  -2.083257e-02  -1.770350e-02  -1.187612e-02  -3.638524e-03   5.505740e-03   1.348582e-02   1.895333e-02   2.206090e-02   2.396657e-02
   21  -1.548189e-02  -1.548683e-02  -1.548906e-02  -1.549230e-02  -1.549700e-02  -1.550381e-02  -1.551370e-02  -1.552801e-02  -1.554871e-02  -1.557861e-02  -1.562166e-02  -1.568342e-02  -1.577147e-02  -1.589597e-02  -1.606965e-02  -1.630672e-02  -1.662009e-02  -1.701220e-02  -1.745365e-02  -1.784785e-02  -1.796754e-02  -1.738010e-02  -1.541326e-02  -1.128099e-02  -4.482201e-03   4.605276e-03   1.445951e-02   2.301898e-02   2.888166e-02   3.212629e-02   3.394677e-02
   22  -1.429833e-02  -1.430113e-02  -1.430240e-02  -1.430424e-02  -1.430690e-02  -1.431076e-02  -1.431635e-02  -1.432443e-02  -1.433610e-02  -1.435295e-02  -1.437700e-02  -1.441132e-02  -1.445979e-02  -1.452726e-02  -1.461910e-02  -1.473964e-02  -1.488812e-02  -1.504845e-02  -1.517226e-02  -1.513637e-02  -1.469452e-02  -1.340514e-02  -1.061319e-02  -5.584437e-03   2.100549e-03   1.200313e-02   2.258750e-02   3.178383e-02   3.810942e-02   4.155235e-02   4.333259e-02
   23  -1.322399e-02  -1.322492e-02  -1.322535e-02  -1.322595e-02  -1.322684e-02  -1.322811e-02  -1.322995e-02  -1.323259e-02  -1.323636e-02  -1.324172e-02  -1.324923e-02  -1.325958e-02  -1.327342e-02  -1.329104e-02  -1.331137e-02  -1.332997e-02  -1.333398e-02  -1.329239e-02  -1.313618e-02  -1.272449e-02  -1.178971e-02  -9.882937e-03  -6.360015e-03  -5.309107e-04   7.968664e-03   1.865312e-02   2.998119e-02   3.985841e-02   4.670453e-02   5.039941e-02   5.218137e-02
   24  -1.225041e-02  -1.224971e-02  -1.224939e-02  -1.224893e-02  -1.224826e-02  -1.224727e-02  -1.224583e-02  -1.224372e-02  -1.224060e-02  -1.223595e-02  -1.222898e-02  -1.221838e-02  -1.220199e-02  -1.217604e-02  -1.213387e-02  -1.206316e-02  -1.194091e-02  -1.172183e-02  -1.132153e-02  -1.057982e-02  -9.212503e-03  -6.761071e-03  -2.591715e-03   3.957339e-03   1.320500e-02   2.463982e-02   3.671614e-02   4.730593e-02   5.471867e-02   5.871335e-02   6.053349e-02
   25  -1.136939e-02  -1.136726e-02  -1.136630e-02  -1.136491e-02  -1.136288e-02  -1.135992e-02  -1.135562e-02  -1.134935e-02  -1.134021e-02  -1.132693e-02  -1.130723e-02  -1.127844e-02  -1.123554e-02  -1.117123e-02  -1.107433e-02  -1.092577e-02  -1.069322e-02  -1.031941e-02  -9.704913e-03  -8.673901e-03  -6.926416e-03  -3.994423e-03   7.497505e-04   7.946038e-03   1.788370e-02   3.003572e-02   4.285539e-02   5.417901e-02   6.219347e-02   6.652732e-02   6.841903e-02
   26  -1.057306e-02  -1.056969e-02  -1.056817e-02  -1.056596e-02  -1.056274e-02  -1.055807e-02  -1.055127e-02  -1.054139e-02  -1.052698e-02  -1.050608e-02  -1.047536e-02  -1.043047e-02  -1.036465e-02  -1.026744e-02  -1.012316e-02  -9.906059e-03  -9.576962e-03  -9.067371e-03  -8.265202e-03  -6.979719e-03  -4.897520e-03  -1.541222e-03   3.714112e-03   1.149369e-02   2.206780e-02   3.490176e-02   4.845419e-02   6.051964e-02   6.916135e-02   7.386889e-02   7.586112e-02
