# Elastic 'oceanless PREM' model
# Adapted from the PREM input file for LoadDef (https://github.com/hrmartens/LoadDef)
# DM, 25-Sep-2026
#
# Lyr  r_top (m) rho(kg/m3)    mu (Pa)   lam (Pa) eta (Pa*s) rheology  
# --- ---------- ---------- ---------- ---------- ---------- --------
  101 5.8510e+06 3.8750e+03 1.0813e+11 1.5197e+11 1.0000e+99 elastic   
  100 5.8410e+06 3.8876e+03 1.0969e+11 1.5395e+11 1.0000e+99 elastic   
   99 5.8310e+06 3.9002e+03 1.1125e+11 1.5595e+11 1.0000e+99 elastic   
   98 5.8210e+06 3.9128e+03 1.1284e+11 1.5796e+11 1.0000e+99 elastic   
   97 5.8110e+06 3.9254e+03 1.1443e+11 1.6000e+11 1.0000e+99 elastic   
   96 5.8010e+06 3.9380e+03 1.1604e+11 1.6205e+11 1.0000e+99 elastic   
   95 5.7910e+06 3.9506e+03 1.1767e+11 1.6411e+11 1.0000e+99 elastic   
   94 5.7810e+06 3.9632e+03 1.1931e+11 1.6620e+11 1.0000e+99 elastic   
   93 5.7710e+06 3.9758e+03 1.2097e+11 1.6829e+11 1.0000e+99 elastic   
   92 5.7610e+06 3.9781e+03 1.2138e+11 1.6896e+11 1.0000e+99 elastic   
   91 5.7510e+06 3.9805e+03 1.2179e+11 1.6963e+11 1.0000e+99 elastic   
   90 5.7410e+06 3.9828e+03 1.2221e+11 1.7030e+11 1.0000e+99 elastic   
   89 5.7310e+06 3.9851e+03 1.2262e+11 1.7098e+11 1.0000e+99 elastic   
   88 5.7210e+06 3.9875e+03 1.2303e+11 1.7166e+11 1.0000e+99 elastic   
   87 5.7110e+06 3.9898e+03 1.2345e+11 1.7234e+11 1.0000e+99 elastic   
   86 5.7010e+06 4.3807e+03 1.5484e+11 1.9670e+11 1.0000e+99 elastic   
   85 5.6857e+06 4.3903e+03 1.5752e+11 1.9695e+11 1.0000e+99 elastic   
   84 5.6357e+06 4.4213e+03 1.6647e+11 1.9763e+11 1.0000e+99 elastic   
   83 5.6000e+06 4.4432e+03 1.7303e+11 1.9800e+11 1.0000e+99 elastic   
   82 5.5857e+06 4.4519e+03 1.7394e+11 1.9983e+11 1.0000e+99 elastic   
   81 5.5357e+06 4.4823e+03 1.7712e+11 2.0621e+11 1.0000e+99 elastic   
   80 5.4857e+06 4.5123e+03 1.8027e+11 2.1257e+11 1.0000e+99 elastic   
   79 5.4357e+06 4.5421e+03 1.8340e+11 2.1890e+11 1.0000e+99 elastic   
   78 5.3857e+06 4.5715e+03 1.8651e+11 2.2520e+11 1.0000e+99 elastic   
   77 5.3357e+06 4.6007e+03 1.8960e+11 2.3147e+11 1.0000e+99 elastic   
   76 5.2857e+06 4.6296e+03 1.9267e+11 2.3771e+11 1.0000e+99 elastic   
   75 5.2357e+06 4.6582e+03 1.9572e+11 2.4392e+11 1.0000e+99 elastic   
   74 5.1857e+06 4.6866e+03 1.9875e+11 2.5011e+11 1.0000e+99 elastic   
   73 5.1357e+06 4.7147e+03 2.0176e+11 2.5627e+11 1.0000e+99 elastic   
   72 5.0857e+06 4.7426e+03 2.0475e+11 2.6241e+11 1.0000e+99 elastic   
   71 5.0357e+06 4.7702e+03 2.0773e+11 2.6852e+11 1.0000e+99 elastic   
   70 4.9857e+06 4.7977e+03 2.1068e+11 2.7462e+11 1.0000e+99 elastic   
   69 4.9357e+06 4.8249e+03 2.1363e+11 2.8069e+11 1.0000e+99 elastic   
   68 4.8857e+06 4.8520e+03 2.1655e+11 2.8675e+11 1.0000e+99 elastic   
   67 4.8357e+06 4.8788e+03 2.1947e+11 2.9279e+11 1.0000e+99 elastic   
   66 4.7857e+06 4.9055e+03 2.2237e+11 2.9883e+11 1.0000e+99 elastic   
   65 4.7357e+06 4.9319e+03 2.2525e+11 3.0486e+11 1.0000e+99 elastic   
   64 4.6857e+06 4.9583e+03 2.2813e+11 3.1088e+11 1.0000e+99 elastic   
   63 4.6357e+06 4.9844e+03 2.3100e+11 3.1691e+11 1.0000e+99 elastic   
   62 4.5857e+06 5.0104e+03 2.3387e+11 3.2295e+11 1.0000e+99 elastic   
   61 4.5357e+06 5.0363e+03 2.3673e+11 3.2900e+11 1.0000e+99 elastic   
   60 4.4857e+06 5.0621e+03 2.3958e+11 3.3506e+11 1.0000e+99 elastic   
   59 4.4357e+06 5.0877e+03 2.4243e+11 3.4115e+11 1.0000e+99 elastic   
   58 4.3857e+06 5.1132e+03 2.4529e+11 3.4727e+11 1.0000e+99 elastic   
   57 4.3357e+06 5.1386e+03 2.4814e+11 3.5341e+11 1.0000e+99 elastic   
   56 4.2857e+06 5.1639e+03 2.5100e+11 3.5960e+11 1.0000e+99 elastic   
   55 4.2357e+06 5.1892e+03 2.5387e+11 3.6584e+11 1.0000e+99 elastic   
   54 4.1857e+06 5.2143e+03 2.5674e+11 3.7212e+11 1.0000e+99 elastic   
   53 4.1357e+06 5.2394e+03 2.5962e+11 3.7847e+11 1.0000e+99 elastic   
   52 4.0857e+06 5.2645e+03 2.6252e+11 3.8489e+11 1.0000e+99 elastic   
   51 4.0357e+06 5.2895e+03 2.6543e+11 3.9138e+11 1.0000e+99 elastic   
   50 3.9857e+06 5.3144e+03 2.6836e+11 3.9796e+11 1.0000e+99 elastic   
   49 3.9357e+06 5.3393e+03 2.7130e+11 4.0463e+11 1.0000e+99 elastic   
   48 3.8857e+06 5.3642e+03 2.7427e+11 4.1140e+11 1.0000e+99 elastic   
   47 3.8357e+06 5.3891e+03 2.7727e+11 4.1827e+11 1.0000e+99 elastic   
   46 3.7857e+06 5.4139e+03 2.8029e+11 4.2527e+11 1.0000e+99 elastic   
   45 3.7357e+06 5.4388e+03 2.8335e+11 4.3239e+11 1.0000e+99 elastic   
   44 3.6857e+06 5.4637e+03 2.8643e+11 4.3966e+11 1.0000e+99 elastic   
   43 3.6357e+06 5.4886e+03 2.8956e+11 4.4707e+11 1.0000e+99 elastic   
   42 3.6300e+06 5.4915e+03 2.8992e+11 4.4792e+11 1.0000e+99 elastic   
   41 3.5857e+06 5.5136e+03 2.9106e+11 4.5136e+11 1.0000e+99 elastic   
   40 3.5357e+06 5.5386e+03 2.9234e+11 4.5531e+11 1.0000e+99 elastic   
   39 3.4857e+06 5.5636e+03 2.9362e+11 4.5930e+11 1.0000e+99 elastic   
   38 3.4800e+06 9.9034e+03 0.0000e+00 6.4413e+11 0.0000e+00 fluid     
   37 3.4000e+06 1.0029e+04 0.0000e+00 6.7428e+11 0.0000e+00 fluid     
   36 3.3000e+06 1.0181e+04 0.0000e+00 7.1161e+11 0.0000e+00 fluid     
   35 3.2000e+06 1.0327e+04 0.0000e+00 7.4843e+11 0.0000e+00 fluid     
   34 3.1000e+06 1.0467e+04 0.0000e+00 7.8465e+11 0.0000e+00 fluid     
   33 3.0000e+06 1.0602e+04 0.0000e+00 8.2019e+11 0.0000e+00 fluid     
   32 2.9000e+06 1.0730e+04 0.0000e+00 8.5498e+11 0.0000e+00 fluid     
   31 2.8000e+06 1.0853e+04 0.0000e+00 8.8894e+11 0.0000e+00 fluid     
   30 2.7000e+06 1.0971e+04 0.0000e+00 9.2204e+11 0.0000e+00 fluid     
   29 2.6000e+06 1.1083e+04 0.0000e+00 9.5423e+11 0.0000e+00 fluid     
   28 2.5000e+06 1.1191e+04 0.0000e+00 9.8549e+11 0.0000e+00 fluid     
   27 2.4000e+06 1.1293e+04 0.0000e+00 1.0158e+12 0.0000e+00 fluid     
   26 2.3000e+06 1.1390e+04 0.0000e+00 1.0451e+12 0.0000e+00 fluid     
   25 2.2215e+06 1.1464e+04 0.0000e+00 1.0675e+12 0.0000e+00 fluid     
   24 2.2000e+06 1.1483e+04 0.0000e+00 1.0735e+12 0.0000e+00 fluid     
   23 2.1000e+06 1.1571e+04 0.0000e+00 1.1009e+12 0.0000e+00 fluid     
   22 2.0000e+06 1.1655e+04 0.0000e+00 1.1273e+12 0.0000e+00 fluid     
