# File: VM5a.dat 
# From Table 2 of Roy&Peltier 2017
# Created by DM on 14-Sep-2026
#
#         r_top (m)  rho(kg/m^3)      mu (Pa)     lam (Pa)   eta (Pa*s)  rheology   rheological parameters
# --------------------------------------------------------------------------------------------------------
     6  6.37100e+06  3.02751e+03  5.24289e+10  6.48718e+10  1.00000e+99  elastic    
     5  6.31100e+06  3.37472e+03  6.74463e+10  8.52286e+10  1.00000e+22  maxwell       
     4  6.27100e+06  3.44828e+03  7.38740e+10  1.01882e+11  5.00000e+20  maxwell       
     3  5.95100e+06  3.89413e+03  1.10882e+11  1.55587e+11  5.00000e+20  maxwell       
     2  5.70100e+06  4.54824e+03  1.83211e+11  2.21977e+11  1.60000e+21  maxwell        
     1  5.11100e+06  5.10336e+03  2.44548e+11  3.47103e+11  3.20000e+21  maxwell         
     0  3.48100e+06  1.09796e+04  7.34965e+09  9.26043e+11  0.00000e+00  fluid      
