------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:26PM on March 06, 2024
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.973244410589292e+24 34216026218.044174 26623910437.00864 9.818634933837371
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.208751859010017 6.152341551250569 1.88993805916064 -0.25281039086602725 -2.6824947170971263 8.041777290864731
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
    646   -5.2479906005    1.3332522932   -2.1631720126   -6.1992281105    1.8895467118   -2.6700461454
    647   -5.2506929568    1.3345022880   -2.1645249801   -6.1992428303    1.8895473167   -2.6700653859
    648   -5.2533892010    1.3357510545   -2.1658754453   -6.1992575048    1.8895479197   -2.6700845670
    649   -5.2560793392    1.3369985844   -2.1672234075   -6.1992721340    1.8895485208   -2.6701036889
    650   -5.2587633773    1.3382448694   -2.1685688648   -6.1992867182    1.8895491201   -2.6701227520
    651   -5.2614413219    1.3394899016   -2.1699118161   -6.1993012575    1.8895497175   -2.6701417566
    652   -5.2641131787    1.3407336729   -2.1712522595   -6.1993157523    1.8895503132   -2.6701607028
    653   -5.2667789539    1.3419761751   -2.1725901942   -6.1993302027    1.8895509070   -2.6701795911
    654   -5.2694386539    1.3432174006   -2.1739256197   -6.1993446089    1.8895514989   -2.6701984215
    655   -5.2720922849    1.3444573413   -2.1752585339   -6.1993589711    1.8895520891   -2.6702171945
    656   -5.2747398531    1.3456959895   -2.1765889361   -6.1993732896    1.8895526775   -2.6702359103
    657   -5.2773813650    1.3469333375   -2.1779168250   -6.1993875644    1.8895532640   -2.6702545690
    658   -5.2800168269    1.3481693778   -2.1792422001   -6.1994017959    1.8895538488   -2.6702731711
    659   -5.2826462453    1.3494041025   -2.1805650599   -6.1994159841    1.8895544319   -2.6702917167
    660   -5.2852696264    1.3506375044   -2.1818854035   -6.1994301294    1.8895550131   -2.6703102061
    661   -5.2878869769    1.3518695759   -2.1832032304   -6.1994442319    1.8895555926   -2.6703286395
    662   -5.2904983033    1.3531003094   -2.1845185395   -6.1994582917    1.8895561704   -2.6703470173
    663   -5.2931036121    1.3543296981   -2.1858313306   -6.1994723092    1.8895567464   -2.6703653396
    664   -5.2957029100    1.3555577344   -2.1871416016   -6.1994862844    1.8895573206   -2.6703836067
    665   -5.2982962035    1.3567844112   -2.1884493528   -6.1995002176    1.8895578932   -2.6704018189
    666   -5.3008834993    1.3580097214   -2.1897545838   -6.1995141089    1.8895584640   -2.6704199764
    667   -5.3034648041    1.3592336579   -2.1910572934   -6.1995279586    1.8895590331   -2.6704380795
    668   -5.3060401247    1.3604562137   -2.1923574811   -6.1995417669    1.8895596005   -2.6704561283
    669   -5.3086094677    1.3616773819   -2.1936551465   -6.1995555338    1.8895601662   -2.6704741232
    670   -5.3111728401    1.3628971556   -2.1949502889   -6.1995692597    1.8895607302   -2.6704920644
    671   -5.3137302487    1.3641155280   -2.1962429081   -6.1995829446    1.8895612926   -2.6705099521
    672   -5.3162817002    1.3653324924   -2.1975330034   -6.1995965888    1.8895618532   -2.6705277866
    673   -5.3188272017    1.3665480422   -2.1988205747   -6.1996101925    1.8895624122   -2.6705455681
    674   -5.3213667600    1.3677621706   -2.2001056219   -6.1996237558    1.8895629696   -2.6705632968
    675   -5.3239003822    1.3689748711   -2.2013881441   -6.1996372789    1.8895635252   -2.6705809730
    676   -5.3264280752    1.3701861373   -2.2026681412   -6.1996507620    1.8895640793   -2.6705985968
    677   -5.3289498460    1.3713959627   -2.2039456132   -6.1996642053    1.8895646317   -2.6706161687
    678   -5.3314657017    1.3726043410   -2.2052205601   -6.1996776089    1.8895651825   -2.6706336886
    679   -5.3339756495    1.3738112658   -2.2064929813   -6.1996909731    1.8895657316   -2.6706511570
    680   -5.3364796963    1.3750167309   -2.2077628765   -6.1997042979    1.8895662792   -2.6706685740
    681   -5.3389778495    1.3762207301   -2.2090302466   -6.1997175836    1.8895668251   -2.6706859399
    682   -5.3414701161    1.3774232572   -2.2102950906   -6.1997308303    1.8895673694   -2.6707032548
    683   -5.3439565034    1.3786243063   -2.2115574089   -6.1997440383    1.8895679122   -2.6707205190
    684   -5.3464370187    1.3798238713   -2.2128172020   -6.1997572076    1.8895684533   -2.6707377328
    685   -5.3489116691    1.3810219462   -2.2140744691   -6.1997703385    1.8895689929   -2.6707548962
    686   -5.3513804621    1.3822185252   -2.2153292111   -6.1997834311    1.8895695309   -2.6707720097
    687   -5.3538434049    1.3834136024   -2.2165814274   -6.1997964856    1.8895700673   -2.6707890733
    688   -5.3563005050    1.3846071721   -2.2178311189   -6.1998095021    1.8895706022   -2.6708060873
    689   -5.3587517696    1.3857992286   -2.2190782858   -6.1998224809    1.8895711355   -2.6708230519
    690   -5.3611972061    1.3869897661   -2.2203229278   -6.1998354220    1.8895716673   -2.6708399674
    691   -5.3636368224    1.3881787792   -2.2215650455   -6.1998483257    1.8895721975   -2.6708568339
    692   -5.3660706254    1.3893662622   -2.2228046394   -6.1998611920    1.8895727262   -2.6708736516
    693   -5.3684986229    1.3905522096   -2.2240417099   -6.1998740213    1.8895732534   -2.6708904209
    694   -5.3709208224    1.3917366161   -2.2252762569   -6.1998868135    1.8895737791   -2.6709071418
    695   -5.3733372314    1.3929194763   -2.2265082816   -6.1998995690    1.8895743032   -2.6709238145
    696   -5.3757478576    1.3941007848   -2.2277377837   -6.1999122878    1.8895748258   -2.6709404394
    697   -5.3781527084    1.3952805365   -2.2289647639   -6.1999249701    1.8895753470   -2.6709570165
    698   -5.3805517916    1.3964587260   -2.2301892235   -6.1999376161    1.8895758666   -2.6709735462
    699   -5.3829451149    1.3976353483   -2.2314111623   -6.1999502259    1.8895763848   -2.6709900286
    700   -5.3853326858    1.3988103982   -2.2326305806   -6.1999627997    1.8895769015   -2.6710064638
    701   -5.3877145122    1.3999838708   -2.2338474806   -6.1999753375    1.8895774167   -2.6710228522
    702   -5.3900906017    1.4011557609   -2.2350618612   -6.1999878397    1.8895779304   -2.6710391939
    703   -5.3924609621    1.4023260638   -2.2362737239   -6.2000003063    1.8895784427   -2.6710554891
    704   -5.3948256012    1.4034947745   -2.2374830694   -6.2000127375    1.8895789535   -2.6710717380
    705   -5.3971845269    1.4046618883   -2.2386898991   -6.2000251334    1.8895794629   -2.6710879408
    706   -5.3995377469    1.4058274003   -2.2398942121   -6.2000374942    1.8895799708   -2.6711040977
    707   -5.4018852691    1.4069913058   -2.2410960110   -6.2000498200    1.8895804773   -2.6711202089
    708   -5.4042271014    1.4081536001   -2.2422952958   -6.2000621111    1.8895809823   -2.6711362746
    709   -5.4065632517    1.4093142788   -2.2434920673   -6.2000743674    1.8895814860   -2.6711522950
    710   -5.4088937279    1.4104733371   -2.2446863271   -6.2000865892    1.8895819882   -2.6711682702
    711   -5.4112185380    1.4116307707   -2.2458780758   -6.2000987767    1.8895824890   -2.6711842005
    712   -5.4135376900    1.4127865749   -2.2470673141   -6.2001109299    1.8895829884   -2.6712000861
    713   -5.4158511918    1.4139407456   -2.2482540433   -6.2001230490    1.8895834864   -2.6712159271
    714   -5.4181590514    1.4150932782   -2.2494382644   -6.2001351341    1.8895839830   -2.6712317237
    715   -5.4204612772    1.4162441686   -2.2506199785   -6.2001471855    1.8895844782   -2.6712474761
    716   -5.4227578765    1.4173934124   -2.2517991869   -6.2001592032    1.8895849720   -2.6712631846
    717   -5.4250488581    1.4185410055   -2.2529758901   -6.2001711874    1.8895854645   -2.6712788492
    718   -5.4273342298    1.4196869436   -2.2541500901   -6.2001831382    1.8895859556   -2.6712944702
    719   -5.4296139998    1.4208312229   -2.2553217876   -6.2001950557    1.8895864453   -2.6713100477
    720   -5.4318881762    1.4219738390   -2.2564909840   -6.2002069402    1.8895869336   -2.6713255820
    721   -5.4341567672    1.4231147882   -2.2576576800   -6.2002187917    1.8895874206   -2.6713410731
    722   -5.4364197810    1.4242540664   -2.2588218776   -6.2002306103    1.8895879063   -2.6713565214
    723   -5.4386772257    1.4253916698   -2.2599835784   -6.2002423963    1.8895883906   -2.6713719269
    724   -5.4409291096    1.4265275944   -2.2611427828   -6.2002541497    1.8895888735   -2.6713872899
    725   -5.4431754410    1.4276618365   -2.2622994927   -6.2002658707    1.8895893552   -2.6714026105
    726   -5.4454162280    1.4287943924   -2.2634537088   -6.2002775594    1.8895898355   -2.6714178889
    727   -5.4476514791    1.4299252583   -2.2646054337   -6.2002892159    1.8895903145   -2.6714331252
    728   -5.4498812018    1.4310544301   -2.2657546673   -6.2003008404    1.8895907921   -2.6714483197
    729   -5.4521054057    1.4321819051   -2.2669014127   -6.2003124330    1.8895912685   -2.6714634725
    730   -5.4543240986    1.4333076794   -2.2680456709   -6.2003239939    1.8895917436   -2.6714785838
    731   -5.4565372888    1.4344317494   -2.2691874429   -6.2003355231    1.8895922173   -2.6714936538
    732   -5.4587449846    1.4355541115   -2.2703267304   -6.2003470208    1.8895926898   -2.6715086825
    733   -5.4609471945    1.4366747625   -2.2714635357   -6.2003584872    1.8895931609   -2.6715236703
    734   -5.4631439268    1.4377936990   -2.2725978594   -6.2003699223    1.8895936308   -2.6715386172
    735   -5.4653351901    1.4389109175   -2.2737297034   -6.2003813263    1.8895940994   -2.6715535235
    736   -5.4675209926    1.4400264149   -2.2748590697   -6.2003926993    1.8895945668   -2.6715683893
    737   -5.4697013430    1.4411401879   -2.2759859600   -6.2004040414    1.8895950329   -2.6715832147
    738   -5.4718762496    1.4422522332   -2.2771103754   -6.2004153528    1.8895954977   -2.6715979999
    739   -5.4740457209    1.4433625478   -2.2782323182   -6.2004266336    1.8895959612   -2.6716127451
    740   -5.4762097656    1.4444711286   -2.2793517896   -6.2004378839    1.8895964235   -2.6716274505
    741   -5.4783683920    1.4455779725   -2.2804687922   -6.2004491039    1.8895968845   -2.6716421162
    742   -5.4805216087    1.4466830764   -2.2815833270   -6.2004602936    1.8895973443   -2.6716567423
    743   -5.4826694242    1.4477864375   -2.2826953963   -6.2004714532    1.8895978029   -2.6716713291
    744   -5.4848118472    1.4488880527   -2.2838050014   -6.2004825827    1.8895982602   -2.6716858767
    745   -5.4869488863    1.4499879193   -2.2849121450   -6.2004936824    1.8895987164   -2.6717003852
    746   -5.4890805499    1.4510860343   -2.2860168278   -6.2005047524    1.8895991712   -2.6717148548
    747   -5.4912068468    1.4521823951   -2.2871190531   -6.2005157927    1.8895996249   -2.6717292857
    748   -5.4933277855    1.4532769987   -2.2882188222   -6.2005268035    1.8896000774   -2.6717436779
    749   -5.4954433747    1.4543698426   -2.2893161368   -6.2005377848    1.8896005286   -2.6717580318
    750   -5.4975536230    1.4554609240   -2.2904109995   -6.2005487369    1.8896009786   -2.6717723474
    751   -5.4996585392    1.4565502403   -2.2915034115   -6.2005596599    1.8896014275   -2.6717866248
    752   -5.5017581318    1.4576377890   -2.2925933748   -6.2005705538    1.8896018751   -2.6718008643
    753   -5.5038524097    1.4587235675   -2.2936808925   -6.2005814187    1.8896023216   -2.6718150660
    754   -5.5059413814    1.4598075733   -2.2947659661   -6.2005922548    1.8896027669   -2.6718292300
    755   -5.5080250558    1.4608898040   -2.2958485971   -6.2006030623    1.8896032110   -2.6718433564
    756   -5.5101034414    1.4619702571   -2.2969287888   -6.2006138411    1.8896036539   -2.6718574455
    757   -5.5121765472    1.4630489303   -2.2980065418   -6.2006245914    1.8896040956   -2.6718714974
    758   -5.5142443818    1.4641258211   -2.2990818603   -6.2006353134    1.8896045362   -2.6718855122
    759   -5.5163069541    1.4652009275   -2.3001547443   -6.2006460072    1.8896049756   -2.6718994901
    760   -5.5183642727    1.4662742469   -2.3012251971   -6.2006566728    1.8896054139   -2.6719134312
    761   -5.5204163465    1.4673457774   -2.3022932209   -6.2006673103    1.8896058510   -2.6719273356
    762   -5.5224631843    1.4684155166   -2.3033588180   -6.2006779200    1.8896062870   -2.6719412036
    763   -5.5245047949    1.4694834625   -2.3044219901   -6.2006885018    1.8896067218   -2.6719550352
    764   -5.5265411871    1.4705496130   -2.3054827399   -6.2006990559    1.8896071555   -2.6719688306
    765   -5.5285723697    1.4716139659   -2.3065410699   -6.2007095825    1.8896075881   -2.6719825899
    766   -5.5305983517    1.4726765193   -2.3075969823   -6.2007200815    1.8896080195   -2.6719963133
    767   -5.5326191419    1.4737372712   -2.3086504785   -6.2007305532    1.8896084498   -2.6720100009
    768   -5.5346347491    1.4747962197   -2.3097015620   -6.2007409976    1.8896088790   -2.6720236529
    769   -5.5366451821    1.4758533628   -2.3107502349   -6.2007514149    1.8896093070   -2.6720372694
    770   -5.5386504500    1.4769086987   -2.3117964995   -6.2007618050    1.8896097340   -2.6720508505
    771   -5.5406505616    1.4779622255   -2.3128403576   -6.2007721683    1.8896101598   -2.6720643964
    772   -5.5426455258    1.4790139415   -2.3138818128   -6.2007825047    1.8896105846   -2.6720779071
    773   -5.5446353515    1.4800638450   -2.3149208667   -6.2007928143    1.8896110082   -2.6720913830
    774   -5.5466200476    1.4811119341   -2.3159575219   -6.2008030973    1.8896114307   -2.6721048240
    775   -5.5485996231    1.4821582072   -2.3169917811   -6.2008133538    1.8896118522   -2.6721182303
    776   -5.5505740869    1.4832026627   -2.3180236465   -6.2008235838    1.8896122726   -2.6721316020
    777   -5.5525434480    1.4842452990   -2.3190531211   -6.2008337875    1.8896126919   -2.6721449394
    778   -5.5545077152    1.4852861144   -2.3200802069   -6.2008439650    1.8896131101   -2.6721582424
    779   -5.5564668977    1.4863251075   -2.3211049064   -6.2008541163    1.8896135272   -2.6721715113
    780   -5.5584210044    1.4873622768   -2.3221272228   -6.2008642416    1.8896139433   -2.6721847462
    781   -5.5603700441    1.4883976207   -2.3231471579   -6.2008743410    1.8896143583   -2.6721979472
    782   -5.5623140261    1.4894311379   -2.3241647147   -6.2008844146    1.8896147722   -2.6722111144
    783   -5.5642529591    1.4904628270   -2.3251798957   -6.2008944624    1.8896151851   -2.6722242480
    784   -5.5661868523    1.4914926866   -2.3261927039   -6.2009044846    1.8896155969   -2.6722373481
    785   -5.5681157146    1.4925207153   -2.3272031415   -6.2009144812    1.8896160077   -2.6722504148
    786   -5.5700395551    1.4935469119   -2.3282112114   -6.2009244525    1.8896164174   -2.6722634483
    787   -5.5719583828    1.4945712752   -2.3292169161   -6.2009343983    1.8896168261   -2.6722764486
    788   -5.5738722068    1.4955938039   -2.3302202582   -6.2009443190    1.8896172338   -2.6722894160
    789   -5.5757810360    1.4966144968   -2.3312212402   -6.2009542145    1.8896176404   -2.6723023504
    790   -5.5776848795    1.4976333528   -2.3322198658   -6.2009640849    1.8896180460   -2.6723152522
    791   -5.5795837463    1.4986503707   -2.3332161372   -6.2009739304    1.8896184506   -2.6723281213
    792   -5.5814776456    1.4996655495   -2.3342100571   -6.2009837510    1.8896188541   -2.6723409579
    793   -5.5833665864    1.5006788880   -2.3352016281   -6.2009935468    1.8896192567   -2.6723537621
    794   -5.5852505777    1.5016903854   -2.3361908528   -6.2010033180    1.8896196582   -2.6723665341
    795   -5.5871296287    1.5027000405   -2.3371777350   -6.2010130646    1.8896200587   -2.6723792740
    796   -5.5890037483    1.5037078525   -2.3381622760   -6.2010227867    1.8896204582   -2.6723919818
    797   -5.5908729457    1.5047138203   -2.3391444801   -6.2010324844    1.8896208567   -2.6724046578
    798   -5.5927372300    1.5057179432   -2.3401243494   -6.2010421578    1.8896212542   -2.6724173019
    799   -5.5945966103    1.5067202202   -2.3411018865   -6.2010518070    1.8896216507   -2.6724299145
    800   -5.5964510957    1.5077206505   -2.3420770948   -6.2010614321    1.8896220462   -2.6724424955
    801   -5.5983006952    1.5087192333   -2.3430499771   -6.2010710331    1.8896224407   -2.6724550451
    802   -5.6001454180    1.5097159679   -2.3440205361   -6.2010806102    1.8896228342   -2.6724675634
    803   -5.6019852731    1.5107108534   -2.3449887748   -6.2010901634    1.8896232268   -2.6724800505
    804   -5.6038202697    1.5117038892   -2.3459546960   -6.2010996929    1.8896236184   -2.6724925065
    805   -5.6056504171    1.5126950748   -2.3469183034   -6.2011091987    1.8896240090   -2.6725049316
    806   -5.6074757242    1.5136844092   -2.3478795987   -6.2011186809    1.8896243986   -2.6725173259
    807   -5.6092962001    1.5146718921   -2.3488385855   -6.2011281396    1.8896247873   -2.6725296895
    808   -5.6111118541    1.5156575226   -2.3497952669   -6.2011375749    1.8896251750   -2.6725420224
    809   -5.6129226951    1.5166413004   -2.3507496456   -6.2011469869    1.8896255618   -2.6725543249
    810   -5.6147287320    1.5176232245   -2.3517017243   -6.2011563756    1.8896259476   -2.6725665970
    811   -5.6165299748    1.5186032952   -2.3526515065   -6.2011657412    1.8896263324   -2.6725788388
    812   -5.6183264321    1.5195815116   -2.3535989959   -6.2011750837    1.8896267163   -2.6725910505
    813   -5.6201181131    1.5205578733   -2.3545441943   -6.2011844032    1.8896270993   -2.6726032321
    814   -5.6219050270    1.5215323798   -2.3554871054   -6.2011936999    1.8896274813   -2.6726153838
    815   -5.6236871828    1.5225050309   -2.3564277324   -6.2012029737    1.8896278624   -2.6726275057
    816   -5.6254645898    1.5234758260   -2.3573660775   -6.2012122248    1.8896282425   -2.6726395979
    817   -5.6272372570    1.5244447650   -2.3583021444   -6.2012214532    1.8896286217   -2.6726516604
    818   -5.6290051937    1.5254118475   -2.3592359362   -6.2012306591    1.8896290000   -2.6726636935
    819   -5.6307684091    1.5263770732   -2.3601674556   -6.2012398425    1.8896293774   -2.6726756972
    820   -5.6325269122    1.5273404419   -2.3610967069   -6.2012490035    1.8896297538   -2.6726876716
    821   -5.6342807122    1.5283019534   -2.3620236913   -6.2012581421    1.8896301293   -2.6726996169
    822   -5.6360298183    1.5292616075   -2.3629484136   -6.2012672586    1.8896305039   -2.6727115330
    823   -5.6377742397    1.5302194041   -2.3638708763   -6.2012763529    1.8896308776   -2.6727234203
    824   -5.6395139855    1.5311753429   -2.3647910823   -6.2012854251    1.8896312504   -2.6727352786
    825   -5.6412490648    1.5321294239   -2.3657090356   -6.2012944753    1.8896316223   -2.6727471083
    826   -5.6429794869    1.5330816470   -2.3666247388   -6.2013035036    1.8896319933   -2.6727589092
    827   -5.6447052609    1.5340320122   -2.3675381947   -6.2013125101    1.8896323634   -2.6727706817
    828   -5.6464263960    1.5349805195   -2.3684494071   -6.2013214948    1.8896327326   -2.6727824257
    829   -5.6481429013    1.5359271687   -2.3693583791   -6.2013304579    1.8896331009   -2.6727941414
    830   -5.6498547860    1.5368719601   -2.3702651143   -6.2013393993    1.8896334683   -2.6728058288
    831   -5.6515620593    1.5378148935   -2.3711696146   -6.2013483192    1.8896338349   -2.6728174881
    832   -5.6532647304    1.5387559691   -2.3720718848   -6.2013572177    1.8896342005   -2.6728291194
    833   -5.6549628084    1.5396951870   -2.3729719269   -6.2013660948    1.8896345653   -2.6728407228
    834   -5.6566563024    1.5406325473   -2.3738697454   -6.2013749507    1.8896349292   -2.6728522983
    835   -5.6583452217    1.5415680501   -2.3747653425   -6.2013837853    1.8896352922   -2.6728638461
    836   -5.6600295754    1.5425016957   -2.3756587222   -6.2013925988    1.8896356544   -2.6728753663
    837   -5.6617093727    1.5434334842   -2.3765498867   -6.2014013912    1.8896360157   -2.6728868589
    838   -5.6633846227    1.5443634159   -2.3774388405   -6.2014101626    1.8896363761   -2.6728983241
    839   -5.6650553346    1.5452914910   -2.3783255860   -6.2014189132    1.8896367357   -2.6729097620
    840   -5.6667215176    1.5462177098   -2.3792101277   -6.2014276429    1.8896370944   -2.6729211727
    841   -5.6683831808    1.5471420725   -2.3800924678   -6.2014363518    1.8896374523   -2.6729325562
    842   -5.6700403334    1.5480645796   -2.3809726098   -6.2014450401    1.8896378093   -2.6729439127
    843   -5.6716929845    1.5489852313   -2.3818505575   -6.2014537077    1.8896381655   -2.6729552423
    844   -5.6733411434    1.5499040280   -2.3827263139   -6.2014623548    1.8896385208   -2.6729665450
    845   -5.6749848191    1.5508209701   -2.3835998830   -6.2014709814    1.8896388753   -2.6729778209
    846   -5.6766240208    1.5517360580   -2.3844712668   -6.2014795877    1.8896392289   -2.6729890702
    847   -5.6782587576    1.5526492922   -2.3853404694   -6.2014881736    1.8896395817   -2.6730002929
    848   -5.6798890388    1.5535606731   -2.3862074947   -6.2014967393    1.8896399337   -2.6730114892
    849   -5.6815148735    1.5544702013   -2.3870723452   -6.2015052847    1.8896402848   -2.6730226590
    850   -5.6831362707    1.5553778771   -2.3879350248   -6.2015138101    1.8896406352   -2.6730338026
    851   -5.6847532397    1.5562837011   -2.3887955371   -6.2015223155    1.8896409847   -2.6730449200
    852   -5.6863657896    1.5571876740   -2.3896538844   -6.2015308009    1.8896413333   -2.6730560114
    853   -5.6879739296    1.5580897962   -2.3905100717   -6.2015392663    1.8896416812   -2.6730670767
    854   -5.6895776687    1.5589900683   -2.3913641008   -6.2015477120    1.8896420283   -2.6730781161
    855   -5.6911770161    1.5598884910   -2.3922159775   -6.2015561379    1.8896423745   -2.6730891296
    856   -5.6927719809    1.5607850649   -2.3930657023   -6.2015645441    1.8896427199   -2.6731001175
    857   -5.6943625723    1.5616797907   -2.3939132801   -6.2015729307    1.8896430645   -2.6731110797
    858   -5.6959487993    1.5625726690   -2.3947587145   -6.2015812978    1.8896434084   -2.6731220163
    859   -5.6975306712    1.5634637006   -2.3956020090   -6.2015896453    1.8896437514   -2.6731329275
    860   -5.6991081969    1.5643528861   -2.3964431665   -6.2015979735    1.8896440936   -2.6731438133
    861   -5.7006813857    1.5652402263   -2.3972821904   -6.2016062823    1.8896444350   -2.6731546738
    862   -5.7022502466    1.5661257220   -2.3981190850   -6.2016145718    1.8896447756   -2.6731655091
    863   -5.7038147888    1.5670093739   -2.3989538535   -6.2016228421    1.8896451155   -2.6731763193
    864   -5.7053750213    1.5678911829   -2.3997864990   -6.2016310933    1.8896454545   -2.6731871045
    865   -5.7069309533    1.5687711497   -2.4006170249   -6.2016393254    1.8896457928   -2.6731978647
    866   -5.7084825938    1.5696492753   -2.4014454349   -6.2016475385    1.8896461303   -2.6732086001
    867   -5.7100299520    1.5705255605   -2.4022717325   -6.2016557327    1.8896464670   -2.6732193108
    868   -5.7115730368    1.5714000061   -2.4030959219   -6.2016639079    1.8896468029   -2.6732299967
    869   -5.7131118575    1.5722726131   -2.4039180055   -6.2016720644    1.8896471381   -2.6732406581
    870   -5.7146464231    1.5731433824   -2.4047379871   -6.2016802021    1.8896474725   -2.6732512949
    871   -5.7161767426    1.5740123149   -2.4055558706   -6.2016883211    1.8896478061   -2.6732619073
    872   -5.7177028251    1.5748794116   -2.4063716599   -6.2016964215    1.8896481390   -2.6732724954
    873   -5.7192246797    1.5757446735   -2.4071853566   -6.2017045033    1.8896484711   -2.6732830593
    874   -5.7207423155    1.5766081016   -2.4079969671   -6.2017125666    1.8896488024   -2.6732935989
    875   -5.7222557414    1.5774696968   -2.4088064932   -6.2017206115    1.8896491330   -2.6733041145
    876   -5.7237649666    1.5783294603   -2.4096139380   -6.2017286381    1.8896494628   -2.6733146060
    877   -5.7252700001    1.5791873930   -2.4104193063   -6.2017366463    1.8896497919   -2.6733250737
    878   -5.7267708510    1.5800434962   -2.4112226012   -6.2017446363    1.8896501202   -2.6733355174
    879   -5.7282675282    1.5808977707   -2.4120238259   -6.2017526081    1.8896504478   -2.6733459375
    880   -5.7297600408    1.5817502178   -2.4128229837   -6.2017605618    1.8896507746   -2.6733563338
    881   -5.7312483978    1.5826008385   -2.4136200795   -6.2017684974    1.8896511007   -2.6733667066
    882   -5.7327326083    1.5834496341   -2.4144151164   -6.2017764151    1.8896514261   -2.6733770558
    883   -5.7342126812    1.5842966056   -2.4152080978   -6.2017843148    1.8896517507   -2.6733873815
    884   -5.7356886255    1.5851417543   -2.4159990256   -6.2017921966    1.8896520746   -2.6733976840
    885   -5.7371604504    1.5859850814   -2.4167879065   -6.2018000606    1.8896523977   -2.6734079631
    886   -5.7386281646    1.5868265880   -2.4175747421   -6.2018079069    1.8896527201   -2.6734182190
    887   -5.7400917774    1.5876662754   -2.4183595363   -6.2018157355    1.8896530418   -2.6734284518
    888   -5.7415512975    1.5885041448   -2.4191422925   -6.2018235465    1.8896533628   -2.6734386616
    889   -5.7430067341    1.5893401975   -2.4199230155   -6.2018313398    1.8896536830   -2.6734488484
    890   -5.7444580960    1.5901744348   -2.4207017079   -6.2018391157    1.8896540025   -2.6734590123
    891   -5.7459053922    1.5910068580   -2.4214783723   -6.2018468741    1.8896543213   -2.6734691534
    892   -5.7473486318    1.5918374684   -2.4222530155   -6.2018546151    1.8896546394   -2.6734792717
    893   -5.7487878236    1.5926662673   -2.4230256374   -6.2018623388    1.8896549568   -2.6734893674
    894   -5.7502229766    1.5934932561   -2.4237962444   -6.2018700452    1.8896552735   -2.6734994405
    895   -5.7516540997    1.5943184361   -2.4245648380   -6.2018777344    1.8896555895   -2.6735094911
    896   -5.7530812019    1.5951418087   -2.4253314236   -6.2018854064    1.8896559047   -2.6735195192
    897   -5.7545042920    1.5959633752   -2.4260960042   -6.2018930613    1.8896562193   -2.6735295250
    898   -5.7559233791    1.5967831372   -2.4268585833   -6.2019006992    1.8896565331   -2.6735395085
    899   -5.7573384720    1.5976010960   -2.4276191647   -6.2019083200    1.8896568463   -2.6735494698
    900   -5.7587495795    1.5984172531   -2.4283777514   -6.2019159240    1.8896571587   -2.6735594090
    901   -5.7601567107    1.5992316098   -2.4291343476   -6.2019235110    1.8896574705   -2.6735693261
    902   -5.7615598745    1.6000441678   -2.4298889580   -6.2019310812    1.8896577816   -2.6735792212
    903   -5.7629590795    1.6008549284   -2.4306415839   -6.2019386347    1.8896580920   -2.6735890944
    904   -5.7643543349    1.6016638932   -2.4313922313   -6.2019461715    1.8896584016   -2.6735989458
    905   -5.7657456494    1.6024710637   -2.4321409021   -6.2019536916    1.8896587107   -2.6736087753
    906   -5.7671330318    1.6032764413   -2.4328876006   -6.2019611950    1.8896590190   -2.6736185832
    907   -5.7685164911    1.6040800277   -2.4336323301   -6.2019686820    1.8896593266   -2.6736283695
    908   -5.7698960361    1.6048818245   -2.4343750957   -6.2019761525    1.8896596336   -2.6736381342
    909   -5.7712716756    1.6056818330   -2.4351158998   -6.2019836065    1.8896599399   -2.6736478774
    910   -5.7726434184    1.6064800551   -2.4358547461   -6.2019910441    1.8896602455   -2.6736575992
    911   -5.7740112734    1.6072764922   -2.4365916384   -6.2019984654    1.8896605505   -2.6736672997
    912   -5.7753752489    1.6080711454   -2.4373265799   -6.2020058705    1.8896608548   -2.6736769788
    913   -5.7767353547    1.6088640175   -2.4380595755   -6.2020132593    1.8896611584   -2.6736866368
    914   -5.7780915990    1.6096551095   -2.4387906275   -6.2020206319    1.8896614614   -2.6736962737
    915   -5.7794439908    1.6104444230   -2.4395197404   -6.2020279885    1.8896617637   -2.6737058895
    916   -5.7807925386    1.6112319598   -2.4402469185   -6.2020353289    1.8896620653   -2.6737154842
    917   -5.7821372514    1.6120177215   -2.4409721642   -6.2020426534    1.8896623663   -2.6737250581
    918   -5.7834781379    1.6128017099   -2.4416954819   -6.2020499619    1.8896626666   -2.6737346111
    919   -5.7848152069    1.6135839266   -2.4424168752   -6.2020572545    1.8896629662   -2.6737441433
    920   -5.7861484670    1.6143643733   -2.4431363472   -6.2020645312    1.8896632653   -2.6737536548
    921   -5.7874779271    1.6151430517   -2.4438539028   -6.2020717922    1.8896635636   -2.6737631457
    922   -5.7888035958    1.6159199637   -2.4445695443   -6.2020790374    1.8896638613   -2.6737726159
    923   -5.7901254818    1.6166951110   -2.4452832757   -6.2020862669    1.8896641584   -2.6737820656
