------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:26PM on March 06, 2024
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.973244410589292e+24 34216026218.044174 26623910437.00864 9.818634933837371
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.208751859010017 6.152341551250569 1.88993805916064 -0.25281039086602725 -2.6824947170971263 8.041777290864731
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
     57   -2.6871877085    0.8149129375   -1.3977985617   -6.1008160423    1.8855027891   -2.5414109050
     58   -2.6960251543    0.8187256325   -1.4002537915   -6.1026770047    1.8855792593   -2.5438433845
     59   -2.7046515913    0.8223864628   -1.4025516379   -6.1044748836    1.8856531373   -2.5461934071
     60   -2.7130789627    0.8259018621   -1.4047013578   -6.1062128332    1.8857245526   -2.5484650956
     61   -2.7213184599    0.8292779341   -1.4067116540   -6.1078938008    1.8857936265   -2.5506623025
     62   -2.7293805717    0.8325204617   -1.4085907123   -6.1095205437    1.8858604722   -2.5527886318
     63   -2.7372751312    0.8356349314   -1.4103462316   -6.1110956439    1.8859251958   -2.5548474585
     64   -2.7450113715    0.8386265550   -1.4119854652   -6.1126215223    1.8859878968   -2.5568419469
     65   -2.7525979613    0.8415002851   -1.4135152457   -6.1141004505    1.8860486685   -2.5587750665
     66   -2.7600430427    0.8442608264   -1.4149420109   -6.1155345628    1.8861075987   -2.5606496066
     67   -2.7673542761    0.8469126619   -1.4162718364   -6.1169258657    1.8861647697   -2.5624681904
     68   -2.7745388656    0.8494600580   -1.4175104541   -6.1182762480    1.8862202593   -2.5642332863
     69   -2.7816035949    0.8519070832   -1.4186632767   -6.1195874887    1.8862741405   -2.5659472201
     70   -2.7885548496    0.8542576137   -1.4197354149   -6.1208612654    1.8863264821   -2.5676121844
     71   -2.7953986518    0.8565153537   -1.4207317016   -6.1220991611    1.8863773494   -2.5692302482
     72   -2.8021406783    0.8586838391   -1.4216567057   -6.1233026708    1.8864268037   -2.5708033658
     73   -2.8087862876    0.8607664525   -1.4225147504   -6.1244732076    1.8864749031   -2.5723333843
     74   -2.8153405312    0.8627664224   -1.4233099238   -6.1256121083    1.8865217025   -2.5738220510
     75   -2.8218081870    0.8646868461   -1.4240461000   -6.1267206383    1.8865672539   -2.5752710199
     76   -2.8281937662    0.8665306864   -1.4247269471   -6.1277999965    1.8866116066   -2.5766818580
     77   -2.8345015356    0.8683007851   -1.4253559421   -6.1288513194    1.8866548073   -2.5780560510
     78   -2.8407355249    0.8699998606   -1.4259363761   -6.1298756853    1.8866969003   -2.5793950082
     79   -2.8468995521    0.8716305272   -1.4264713740   -6.1308741179    1.8867379276   -2.5807000678
     80   -2.8529972292    0.8731952925   -1.4269638979   -6.1318475896    1.8867779293   -2.5819725010
     81   -2.8590319756    0.8746965634   -1.4274167576   -6.1327970250    1.8868169432   -2.5832135160
     82   -2.8650070323    0.8761366545   -1.4278326212   -6.1337233035    1.8868550056   -2.5844242623
     83   -2.8709254633    0.8775177842   -1.4282140159   -6.1346272620    1.8868921508   -2.5856058341
     84   -2.8767901807    0.8788420940   -1.4285633461   -6.1355096977    1.8869284117   -2.5867592732
     85   -2.8826039412    0.8801116395   -1.4288828922   -6.1363713702    1.8869638193   -2.5878855725
     86   -2.8883693592    0.8813283985   -1.4291748207   -6.1372130038    1.8869984035   -2.5889856788
     87   -2.8940889147    0.8824942759   -1.4294411881   -6.1380352895    1.8870321926   -2.5900604954
     88   -2.8997649613    0.8836111062   -1.4296839492   -6.1388388868    1.8870652138   -2.5911108842
     89   -2.9053997306    0.8846806543   -1.4299049592   -6.1396244258    1.8870974930   -2.5921376689
